model,architecture,active_params_B,total_params_B,n_refs,authenticity,relevance,quality
Claude Opus 4.6,unknown,,,233,0.9242,0.8715,0.8061
Claude Sonnet 4.6,unknown,,,240,0.8614,0.8042,0.6932
DeepSeek R1,moe,37,671,238,0.7577,0.8222,0.6260
DeepSeek V3,moe,37,671,230,0.8506,0.8848,0.7542
DeepSeek V4 Pro,moe,49,1600,240,0.8906,0.9521,0.8472
GPT-5,unknown,,,228,0.8759,0.8679,0.7622
GPT-5 Mini,unknown,,,237,0.7948,0.7924,0.6233
GPT-5 Nano,unknown,,,227,0.5476,0.8240,0.4325
GPT-5.4,unknown,,,240,0.8842,0.8583,0.7606
GPT-OSS,moe,5.1,120,240,0.1620,0.8583,0.1358
Gemma 3 12B,dense,12,12,239,0.1427,0.7787,0.1133
Gemma 3 27B,dense,27,27,238,0.2733,0.8130,0.2197
Gemma 3 4B,dense,4,4,240,0.1000,0.8521,0.0822
Gemma 4 31B,dense,31,31,237,0.3652,0.9266,0.3262
Grok 3,unknown,,,240,0.7490,0.9375,0.6899
Kimi K2,moe,32,1000,239,0.6725,0.8387,0.5695
Llama 3.1 405B Hermes,dense,405,405,231,0.8795,0.7880,0.7025
Llama 3.1 405B base,dense,405,405,231,0.7786,0.8214,0.6379
Llama 3.1 70B,dense,70,70,214,0.7235,0.8551,0.6070
Llama 3.1 8B,dense,8,8,233,0.4246,0.7699,0.3217
Llama 3.2 1B,dense,1,1,215,0.0875,0.8727,0.0778
Llama 3.3 70B,dense,70,70,236,0.5702,0.8119,0.4462
Llama 4 Maverick,moe,17,400,236,0.7349,0.8197,0.6052
Llama 4 Scout,moe,17,109,237,0.2689,0.8106,0.2093
MiniMax M2.5,moe,10,230,239,0.3545,0.8937,0.3087
Mistral Large 2,dense,123,123,237,0.4487,0.8598,0.3645
Mistral Medium 3.1,dense,250,250,232,0.6779,0.8185,0.5602
Mistral Small 3.2,dense,24,24,233,0.3957,0.8181,0.3086
Mixtral 8x22B,moe,39,141,240,0.5706,0.8563,0.4931
Mixtral 8x7B,moe,13,47,221,0.3044,0.8806,0.2662
Qwen3 14B nothink,dense,14,14,239,0.2739,0.8102,0.2274
Qwen3 14B think,dense,14,14,240,0.2186,0.8021,0.1738
Qwen3 30B-A3B,moe,3,30,240,0.2149,0.9292,0.1945
Qwen3 32B nothink,dense,32,32,239,0.3622,0.8187,0.2850
Qwen3 32B think,dense,32,32,238,0.2631,0.8618,0.2132
Qwen3 8B nothink,dense,8,8,236,0.0674,0.8868,0.0544
Qwen3 8B think,dense,8,8,239,0.1391,0.8324,0.1071
Qwen3.5,moe,17,397,221,0.7106,0.9323,0.6652
