model,model_key,active_params_B,total_params_B,architecture,topic,openalex_works,n_refs,authenticity,relevance,quality
Claude Opus 4.6,claude_opus_46,,,unknown,Biometric voter registration,171,10,0.5433,0.7000,0.3167
Claude Opus 4.6,claude_opus_46,,,unknown,Climate change,1222665,10,0.8433,0.9000,0.7933
Claude Opus 4.6,claude_opus_46,,,unknown,Climate change adaptation in agriculture,25815,10,0.9467,0.8500,0.8100
Claude Opus 4.6,claude_opus_46,,,unknown,Climate-smart agriculture for smallholder farmers,1406,3,0.9111,0.6667,0.5778
Claude Opus 4.6,claude_opus_46,,,unknown,Democratic elections,48258,10,0.9533,0.7000,0.6717
Claude Opus 4.6,claude_opus_46,,,unknown,Digital financial services,34424,10,0.9567,0.9500,0.9067
Claude Opus 4.6,claude_opus_46,,,unknown,Economics,767282,10,0.9800,0.9500,0.9300
Claude Opus 4.6,claude_opus_46,,,unknown,Education,5921253,10,0.9900,0.9000,0.8900
Claude Opus 4.6,claude_opus_46,,,unknown,Energy,8631334,10,0.9800,0.9500,0.9300
Claude Opus 4.6,claude_opus_46,,,unknown,Environmental Science,247835,10,0.9534,1.0000,0.9534
Claude Opus 4.6,claude_opus_46,,,unknown,Girls education,71707,10,0.8166,0.8500,0.6666
Claude Opus 4.6,claude_opus_46,,,unknown,Health,8504910,10,0.9867,0.9000,0.8867
Claude Opus 4.6,claude_opus_46,,,unknown,Infectious disease,469401,10,0.9867,1.0000,0.9867
Claude Opus 4.6,claude_opus_46,,,unknown,Insecticide-treated bed nets for malaria,1331,10,0.9634,0.7500,0.7317
Claude Opus 4.6,claude_opus_46,,,unknown,Malaria prevention,13463,10,0.9500,0.9000,0.8550
Claude Opus 4.6,claude_opus_46,,,unknown,Microfinance loan repayment,1341,10,1.0000,0.9500,0.9500
Claude Opus 4.6,claude_opus_46,,,unknown,Mini-grid electrification,747,10,0.8367,0.8000,0.6567
Claude Opus 4.6,claude_opus_46,,,unknown,Mobile banking,17971,10,0.9300,1.0000,0.9300
Claude Opus 4.6,claude_opus_46,,,unknown,Political Science,285942,10,0.9600,0.8500,0.8300
Claude Opus 4.6,claude_opus_46,,,unknown,Renewable energy,501950,10,0.9700,0.9000,0.8750
Claude Opus 4.6,claude_opus_46,,,unknown,Rural electrification,9391,10,0.9033,1.0000,0.9033
Claude Opus 4.6,claude_opus_46,,,unknown,School dropout,19413,10,0.9200,1.0000,0.9200
Claude Opus 4.6,claude_opus_46,,,unknown,School dropout prevention programs in rural areas,32,10,0.9500,0.5000,0.4750
Claude Opus 4.6,claude_opus_46,,,unknown,Voter turnout,10283,10,0.9500,0.9500,0.9000
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Biometric voter registration,171,10,0.7400,0.4000,0.2200
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Climate change,1222665,10,0.7700,0.9000,0.6766
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Climate change adaptation in agriculture,25815,10,0.9667,0.7000,0.6767
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Climate-smart agriculture for smallholder farmers,1406,10,0.8067,0.6000,0.4984
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Democratic elections,48258,10,0.8466,0.6500,0.5333
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Digital financial services,34424,10,0.8934,0.9000,0.7984
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Economics,767282,10,0.8734,0.9000,0.7934
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Education,5921253,10,0.7834,0.9000,0.7167
Claude Sonnet 4.6,claude_sonnet_46,,,unknown,Energy,8631334,10,0.8800,0.8000,0.7050
