model,model_key,active_params_B,architecture,topic,openalex_works,n_refs,title_match_rate,relevance,title_quality
Llama 3.2 1B,llama_3_2_1b,1,dense,Biometric voter registration,171,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Climate change,1222665,8,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Climate change adaptation in agriculture,25815,9,0.1111,0.5,0.0556
Llama 3.2 1B,llama_3_2_1b,1,dense,Climate-smart agriculture for smallholder farmers,1406,9,0.0,0.8889,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Democratic elections,48258,9,0.0,0.5,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Digital financial services,34424,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Economics,767282,9,0.2222,0.7778,0.1728
Llama 3.2 1B,llama_3_2_1b,1,dense,Education,5921253,9,0.4444,0.7778,0.3457
Llama 3.2 1B,llama_3_2_1b,1,dense,Energy,8631334,9,0.1111,0.7778,0.0864
Llama 3.2 1B,llama_3_2_1b,1,dense,Environmental Science,247835,9,0.1111,0.9444,0.1049
Llama 3.2 1B,llama_3_2_1b,1,dense,Girls education,71707,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Health,8504910,9,0.0,0.7778,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Infectious disease,469401,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Insecticide-treated bed nets for malaria,1331,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Malaria prevention,13463,9,0.3333,1.0,0.3333
Llama 3.2 1B,llama_3_2_1b,1,dense,Microfinance loan repayment,1341,9,0.0,0.4444,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Mini-grid electrification,747,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Mobile banking,17971,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Political Science,285942,2,0.5,1.0,0.5
Llama 3.2 1B,llama_3_2_1b,1,dense,Renewable energy,501950,9,0.0,0.8889,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Rural electrification,9391,7,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,School dropout,19413,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,School dropout prevention programs in rural areas,32,9,0.0,1.0,0.0
Llama 3.2 1B,llama_3_2_1b,1,dense,Voter turnout,10283,9,0.0,0.6667,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Biometric voter registration,171,10,0.0,0.65,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Climate change,1222665,10,0.1,1.0,0.1
Gemma 3 4B,gemma_3_4b,4,dense,Climate change adaptation in agriculture,25815,10,0.1,0.8,0.08
Gemma 3 4B,gemma_3_4b,4,dense,Climate-smart agriculture for smallholder farmers,1406,9,0.0,0.9444,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Democratic elections,48258,10,0.1,0.65,0.065
Gemma 3 4B,gemma_3_4b,4,dense,Digital financial services,34424,10,0.0,0.95,0.0
Gemma 3 4B,gemma_3_4b,4,dense,Economics,767282,10,0.1,0.75,0.075
Gemma 3 4B,gemma_3_4b,4,dense,Education,5921253,10,0.6,0.9,0.54
Gemma 3 4B,gemma_3_4b,4,dense,Energy,8631334,10,0.2,0.85,0.17
