reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Afriyie, S. O. (2018). *Biometric voter registration: A case study of Ghana* [Master’s thesis, University of Ghana].",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Berman, N. S., & Gelb, A. H. (2011). *The potential of technology to improve identity and payment programs: How the developing world is leapfrogging legacy systems*. Center for Global Development Working Paper, 262.",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Breckenridge, K. (2014). The world’s first biometric money: Ghana’s e-Zwich and the contemporary influence of South African biometrics. *Africa*, *84*(2), 235–256.",Biometric voter registration,deepseek_r1_671b_a37b,verified-with-error,,MATCH,MATCH,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4
"Caarls, S. (2015). *E-voting handbook: Key steps in the implementation of e-enabled elections*. Council of Europe Publishing.",Biometric voter registration,deepseek_r1_671b_a37b,verified-with-error,,MATCH,CONTAINS,CONTRADICTION,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.533
"Mansfield-Devine, S. (2011). Biometrics in elections. *Computer Fraud & Security*, *2011*(7), 12–17.",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,MATCH,MATCH,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Mujica, A. (2017). The impact of biometric identification on voter registration in developing countries: Evidence from Peru. *Electoral Studies*, *50*, 1–12.",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Siaplay, M., & Evans, D. (2015). Biometric Voter Registration in Malawi: Assessing the impact of biometric technology in elections. *Malawi Law Journal*, *9*(1), 21–40.",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Söderström, J. (2016). Technology and election administration: The introduction of biometric technology in Ugandan elections. *Journal of Eastern African Studies*, *10*(4), 759–776.",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Tiihonen, P. (Ed.). (2004). *The history of electoral management in Finland*. Ministry of Justice.",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
"Win, E. S. (2016). *Biometric voter registration and the integrity of elections: Kenya’s 2013 experience* [Paper presentation]. International Conference on Public Policy, Singapore.",Biometric voter registration,deepseek_r1_671b_a37b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
