reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Adu, K. A., & Ojo, S. O. (2018). Biometric voter registration and electoral integrity in Ghana. *African Journal of Political Science and International Relations*, 12(3), 45-58.",Biometric voter registration,deepseek_v3_671b_a37b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,Does the use of a biometric system guarantee an acceptable election's outcome? Evidence from Ghana's 2012 election,E Debrah; J Effah; I Owusu-Mensah,2019,African Studies,10.1080/00020184.2018.1519335,https://www.tandfonline.com/doi/abs/10.1080/00020184.2018.1519335,GOOGLE,0,3,1,1,0,Biometric voter registration and electoral integrity in Ghana,Does the use of a biometric system guarantee an acceptable election's outcome? Evidence from Ghana's 2012 election,"Adu, K. A.; Ojo, S. O.",E Debrah; J Effah; I Owusu-Mensah,2018,2019,African Journal of Political Science and International Relations,African Studies,,10.1080/00020184.2018.1519335,0,0,3,GOOGLE,1,"✗ Title | ✗ Authors | ◐ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference provided. The title, authors, and journal do not correspond to any known publication in the search results or databases.

### Details
A search for the article titled ""Biometric voter registration and electoral integrity in Ghana"" by Adu, K. A., & Ojo, S. O. from 2018 in the ""African Journal of Political Science and International Relations"" found no matching records. The closest found article was titled ""Does the use of a biometric system guarantee an acceptable election's outcome? Evidence from Ghana's 2012 election"" by Debrah, E., Effah, J., & Owusu-Mensah, I. published in 2019 in ""African Studies,"" which differs significantly in title, authors, and journal. The year 2018 was contained within a ±1 range but did not match exactly. No DOI or other identifier was present to aid verification.

- https://www.tandfonline.com/doi/abs/10.1080/00020184.2018.1519335
- https://www.researchgate.net/profile/Harrison-Idowu/publication/388025528_Electoral_Reforms_and_Electoral_Integrity_in_Ghana_and_Nigeria_1992-2023/links/6787775c1afb4e11f5e70396/Electoral-Reforms-and-Electoral-Integrity-in-Ghana-and-Nigeria-1992-2023.pdf
- https://www.electoralintegrityproject.com/s/Panel-4-Ghana-Edward-Van-Gyampo-and-Graham.pdf",0.0,1.0
"Bari, M. E., & Islam, M. K. (2016). Biometric voter registration system: A case study of Bangladesh. *International Journal of Advanced Computer Science and Applications*, 7(4), 112-120.",Biometric voter registration,deepseek_v3_671b_a37b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,An Approach of Automated Electronic Voting Management System for Bangladesh Using Biometric Fingerprint,M. Mesbahuddin Sarker; Md. Ariful Islam Shah; Tajim Md. Niamat Ullah Akhund; Md. Sharif Uddin,2016,International Journal of Advanced Engineering Research and Science,10.22161/ijaers/3.11.11,http://doi.org/10.22161/ijaers/3.11.11,GOOGLE,1,3,0,1,0,Biometric voter registration system: A case study of Bangladesh,An Approach of Automated Electronic Voting Management System for Bangladesh Using Biometric Fingerprint,"Bari, M. E.; Islam, M. K.",M. Mesbahuddin Sarker; Md. Ariful Islam Shah; Tajim Md. Niamat Ullah Akhund; Md. Sharif Uddin,2016,2016,International Journal of Advanced Computer Science and Applications,International Journal of Advanced Engineering Research and Science,,10.22161/ijaers/3.11.11,0,0,1,GOOGLE,0,"✗ Title | ✗ Authors | ✓ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference by Bari and Islam (2016) on biometric voter registration in Bangladesh. The closest candidate found describes a different topic, authors, and journal.

### Details
A matching record was found for a 2016 article titled ""An Approach of Automated Electronic Voting Management System for Bangladesh Using Biometric Fingerprint"" published in the International Journal of Advanced Engineering Research and Science. However, this differs significantly from the cited article's title about biometric voter registration. The authors do not overlap, and the journals are distinct. The year 2016 matches exactly, but the other key details contradict, indicating no verified match.

- http://doi.org/10.22161/ijaers/3.11.11",0.0,1.0
"Cheeseman, N., Lynch, G., & Willis, J. (2016). Digital dilemmas: The unintended consequences of electronic voter registration in Kenya. *Journal of Eastern African Studies*, 10(3), 511-529.",Biometric voter registration,deepseek_v3_671b_a37b,unverified,Reference could not be verified.,CONTAINS,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,Digital dilemmas: The unintended consequences of election technology,N Cheeseman; G Lynch; J Willis,2018,Democratization,10.1080/13510347.2018.1470165,https://www.tandfonline.com/doi/abs/10.1080/13510347.2018.1470165,GOOGLE,1,2,1,1,0,Digital dilemmas: The unintended consequences of electronic voter registration in Kenya.,Digital dilemmas: The unintended consequences of election technology,"Cheeseman, N.; Lynch, G.; Willis, J.",N Cheeseman; G Lynch; J Willis,2016,2018,Journal of Eastern African Studies,Democratization,,10.1080/13510347.2018.1470165,0,0,1,GOOGLE,0,"◐ Title | ✓ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the 2016 reference in the Journal of Eastern African Studies. The closest found article by the same authors has a similar title but was published in 2018 in a different journal, Democratization.

### Details
A matching record was found with the same authors (Cheeseman, Lynch, Willis) and a similar title starting with ""Digital dilemmas,"" but the subtitle and publication year differ. The citation lists 2016 and Journal of Eastern African Studies, while the found article is from 2018 and published in Democratization. No identifier was available to confirm the original reference, and the two journals are distinct with no clear connection. The best match is accessible here:

- [Digital dilemmas: The unintended consequences of election technology (2018)](https://www.tandfonline.com/doi/abs/10.1080/13510347.2018.1470165)",0.033,0.967
"Gibson, C. C., & Long, J. D. (2009). The presidential and parliamentary elections in Kenya, December 2007. *Electoral Studies*, 28(3), 497-502.",Biometric voter registration,deepseek_v3_671b_a37b,verified,"Gibson, C. C., & Long, J. D. (2009). The presidential and parliamentary elections in Kenya, December 2007. *Electoral Studies*, 28(3), 497-502. https://doi.org/10.1016/j.electstud.2009.01.005",MATCH,MATCH,MATCH,MATCH,ABSENT,"The presidential and parliamentary elections in Kenya, December 2007",Clark C. Gibson; James D. Long,2009,Electoral Studies,10.1016/j.electstud.2009.01.005,https://doi.org/10.1016/j.electstud.2009.01.005,GOOGLE,4,0,0,1,0,"The presidential and parliamentary elections in Kenya, December 2007","The presidential and parliamentary elections in Kenya, December 2007","Gibson, C. C.; Long, J. D.",Clark C. Gibson; James D. Long,2009,2009,Electoral Studies,Electoral Studies,,10.1016/j.electstud.2009.01.005,1,1,1,GOOGLE,1,"✓ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This article was confirmed in the journal Electoral Studies with matching authors Clark C. Gibson and James D. Long, and the year 2009. The title ""The presidential and parliamentary elections in Kenya, December 2007"" was exactly matched.

### Details
A matching record was found with the exact title and author names corresponding to the citation. The year 2009 and the journal Electoral Studies also matched exactly. Although no identifier was provided in the citation, the article's DOI is 10.1016/j.electstud.2009.01.005, confirming the source. The article appears in volume 28, issue 3, pages 497-502.

- https://doi.org/10.1016/j.electstud.2009.01.005",1.0,0.0
"Howard, A. E., & Roessler, P. G. (2016). Democratizing electoral authoritarianism in Africa. *Comparative Political Studies*, 49(1), 50-85.",Biometric voter registration,deepseek_v3_671b_a37b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,Liberalizing electoral outcomes in competitive authoritarian regimes,M. M. Howard; P. G. Roessler,2006,American Journal of Political Science,10.1111/j.1540-5907.2006.00189.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-5907.2006.00189.x,GOOGLE,0,4,0,1,0,Democratizing electoral authoritarianism in Africa.,Liberalizing electoral outcomes in competitive authoritarian regimes,"Howard, A. E.; Roessler, P. G.",M. M. Howard; P. G. Roessler,2016,2006,Comparative Political Studies,American Journal of Political Science,,10.1111/j.1540-5907.2006.00189.x,0,0,1,GOOGLE,0,"✗ Title | ✗ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference by Howard and Roessler (2016) titled ""Democratizing electoral authoritarianism in Africa."" The best available match was a different article by Howard and Roessler from 2006 with a different title, authorship details, journal, and publication year.

### Details
A search found a related article titled ""Liberalizing electoral outcomes in competitive authoritarian regimes"" by M. M. Howard and P. G. Roessler published in 2006 in the American Journal of Political Science. This differs significantly from the cited article, which is from 2016 in Comparative Political Studies by A. E. Howard and P. G. Roessler. The titles, author names, publication years, and journals do not match, indicating that the cited reference could not be verified.

- https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-5907.2006.00189.x",0.0,1.0
"Kanyinga, K. (2016). Devolution and the new politics of development in Kenya. *African Studies Review*, 59(3), 155-176.",Biometric voter registration,deepseek_v3_671b_a37b,verified,"Kanyinga, K. (2016). Devolution and the New Politics of Development in Kenya. *African Studies Review*, 59(3), 155-167. https://doi.org/10.1017/asr.2016.85",MATCH,MATCH,MATCH,MATCH,ABSENT,Devolution and the New Politics of Development in Kenya,Karuti Kanyinga,2016,African Studies Review,10.1017/asr.2016.85,https://doi.org/10.1017/asr.2016.85,GOOGLE,4,0,0,1,0,Devolution and the new politics of development in Kenya,Devolution and the New Politics of Development in Kenya,"Kanyinga, K.",Karuti Kanyinga,2016,2016,African Studies Review,African Studies Review,,10.1017/asr.2016.85,1,1,1,GOOGLE,0,"✓ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This article was confirmed in the African Studies Review with matching author Karuti Kanyinga and publication year 2016. The title ""Devolution and the New Politics of Development in Kenya"" was found to match exactly, and the journal details correspond perfectly.

### Details
A matching record was found with the exact title and author, where ""Kanyinga, K."" corresponds to ""Karuti Kanyinga."" The year 2016 matched exactly, and the article was published in the African Studies Review, volume 59, issue 3, pages 155-167. The DOI 10.1017/asr.2016.85 confirms the source, accessible at https://doi.org/10.1017/asr.2016.85.

- https://doi.org/10.1017/asr.2016.85",1.0,0.0
"Kramon, E. (2016). Electoral manipulation and the role of international election observation: Evidence from Kenya. *World Development*, 85, 11-26.",Biometric voter registration,deepseek_v3_671b_a37b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Electoral manipulation and the role of international election observation: Evidence from Kenya"" by E. Kramon in 2016 could be found. The search did not confirm the authors, title, year, or journal details.

### Details
A search in OpenAlex found no matching record for this article. Google Scholar searches returned related works by E. Kramon on electoral topics in Kenya but none with the exact title or publication details given. The year 2016 appears in some related articles by the author, but none match the journal ""World Development"" or the exact article title. No relevant results appeared in a general Google search either.

- https://openalex.org
- https://scholar.google.com
- https://www.google.com",0.0,1.0
"Mutharika, A. P. (2014). The role of biometric technology in voter registration: The case of Malawi. *Journal of African Elections*, 13(1), 1-22.",Biometric voter registration,deepseek_v3_671b_a37b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Mutharika (2014) on biometric technology in voter registration in Malawi. The verification process did not find any records confirming the title, authors, year, or journal details.

### Details
A search in OpenAlex returned no matching work. Additionally, a Google search did not reveal any article matching the exact title or author details. The year 2014 and the journal ""Journal of African Elections"" could not be confirmed from available sources. The search results mostly included general information about biometric technology in Malawi elections but no specific publication matching the reference.

- https://openalex.org
- https://www.google.com/search?q=Mutharika+biometric+technology+voter+registration+Malawi+2014",0.0,1.0
"Omotola, J. S. (2010). Explaining electoral violence in Africa’s ‘new’ democracies. *African Journal on Conflict Resolution*, 10(3), 51-73.",Biometric voter registration,deepseek_v3_671b_a37b,verified,"Omotola, J. S. (2011). Explaining electoral violence in Africa’s ‘new’ democracies. *African Journal on Conflict Resolution*, *10*(3), 51–73. https://doi.org/10.4314/ajcr.v10i3.63320",MATCH,MATCH,CONTAINS,MATCH,ABSENT,Explaining electoral violence in Africa’s ‘new’ democracies,J. Shola Omotola,2011,African Journal on Conflict Resolution,10.4314/ajcr.v10i3.63320,https://doi.org/10.4314/ajcr.v10i3.63320,GOOGLE,3,0,1,1,0,Explaining electoral violence in Africa’s ‘new’ democracies.,Explaining electoral violence in Africa’s ‘new’ democracies,"Omotola, J. S.",J. Shola Omotola,2010,2011,African Journal on Conflict Resolution,African Journal on Conflict Resolution,,10.4314/ajcr.v10i3.63320,1,1,1,GOOGLE,0,"✓ Title | ✓ Authors | ◐ Year | ✓ Venue | ○ ID

### Summary
This article was confirmed in the African Journal on Conflict Resolution with matching title, author, and journal name. The author name matched as an abbreviation versus full name, and the publication year was found to be 2011 in the evidence, which is within one year of the cited 2010.

### Details
A matching record was found with the exact title ""Explaining electoral violence in Africa’s ‘new’ democracies"" and the author J. Shola Omotola, which corresponds to the cited Omotola, J. S. The journal name African Journal on Conflict Resolution matched exactly. The year in the evidence was 2011, slightly different from the cited 2010, but this difference is minor and acceptable. No DOI was provided in the citation, but the article is available online with DOI 10.4314/ajcr.v10i3.63320. The article's volume, issue, and page numbers also align with the citation.

- https://doi.org/10.4314/ajcr.v10i3.63320
- https://www.accord.org.za/ajcr-issues/explaining-electoral-violence-in-africas-new-democracies/
- https://www.ajol.info/index.php/ajcr/article/view/63320/51203",0.9,0.1
"Schedler, A. (2013). *The politics of uncertainty: Sustaining and subverting electoral authoritarianism*. Oxford University Press.",Biometric voter registration,deepseek_v3_671b_a37b,verified,"Schedler, A. (2013). *The politics of uncertainty: Sustaining and subverting electoral authoritarianism*. Oxford University Press, USA. http://books.google.com/books?id=yZEeAAAAQBAJ&dq=The+politics+of+uncertainty%3A+Sustaining+and+subverting+electoral+authoritarianism+Schedler+2013",MATCH,MATCH,MATCH,MATCH,ABSENT,The Politics of Uncertainty: Sustaining and Subverting Electoral Authoritarianism,Andreas Schedler,2013,Oxford University Press,,http://books.google.com/books?id=yZEeAAAAQBAJ&dq=The+politics+of+uncertainty%3A+Sustaining+and+subverting+electoral+authoritarianism+Schedler+2013,GOOGLE,4,0,0,1,0,The politics of uncertainty: Sustaining and subverting electoral authoritarianism,The Politics of Uncertainty: Sustaining and Subverting Electoral Authoritarianism,"Schedler, A.",Andreas Schedler,2013,2013,Oxford University Press,Oxford University Press,,http://books.google.com/books?id=yZEeAAAAQBAJ&dq=The+politics+of+uncertainty%3A+Sustaining+and+subverting+electoral+authoritarianism+Schedler+2013,1,1,1,GOOGLE,0,"✓ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This book was confirmed as published by Oxford University Press in 2013 with the author Andreas Schedler. The title ""The Politics of Uncertainty: Sustaining and Subverting Electoral Authoritarianism"" matches exactly.

### Details
A matching record was found on Google Books showing the exact title and author, Andreas Schedler, with the publication year 2013. The publisher is listed as Oxford University Press, USA, confirming the venue. No DOI was available, but the ISBN and a direct link to the book's page on Google Books were provided.

- [Google Books link](http://books.google.com/books?id=yZEeAAAAQBAJ&dq=The+politics+of+uncertainty%3A+Sustaining+and+subverting+electoral+authoritarianism+Schedler+2013)",1.0,0.0
