reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Ananny, M. J., & Crawford, K. (2018). Rethinking biometric identity: Social justice, data privacy, and the limits of technological solutionism. *New Media & Society, 20*(5), 1788–1806.",Biometric voter registration,gemma_3_27b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Ananny and Crawford from 2018 titled ""Rethinking biometric identity: Social justice, data privacy, and the limits of technological solutionism."" None of the key details such as title, authors, year, or journal were confirmed.

### Details
A search in OpenAlex returned no results matching the exact title, authors, or year. Further web searches also did not find any record that directly corresponds to the full citation provided. Various related works referencing similar topics and authors appeared, but none matched exactly with all the details of this article, including the journal name or publication year.

- https://openalex.org
- https://scholar.google.com",0.0,1.0
"Hassan, K. K., & Alam, M. M. (2016). Factors affecting loan repayment performance of microfinance institutions in Bangladesh. *Journal of Business Studies Quarterly*, *7*(2), 102–114.",Microfinance loan repayment,gemma_3_27b,verified,"Hassan, K. K., & Alam. (2016). *Factors affecting loan repayment performance of microfinance institutions in Bangladesh*. *Journal of Business Studies Quarterly*.",MATCH,MATCH,MATCH,MATCH,ABSENT,Factors affecting loan repayment performance of microfinance institutions in Bangladesh,K. K. Hassan; Alam,2016.0,Journal of Business Studies Quarterly,,,GOOGLE,4.0,0.0,0.0,1.0,0.0,Factors affecting loan repayment performance of microfinance institutions in Bangladesh,Factors affecting loan repayment performance of microfinance institutions in Bangladesh,"Hassan, K. K.; Alam, M. M.",K. K. Hassan; Alam,2016.0,2016.0,Journal of Business Studies Quarterly,Journal of Business Studies Quarterly,,,1,1,1,GOOGLE,0,"✓ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This article was confirmed in the Journal of Business Studies Quarterly with matching authors and the publication year 2016. The exact title and journal name were found to match perfectly, confirming the accuracy of the reference.

### Details
A matching record was found where the title ""Factors affecting loan repayment performance of microfinance institutions in Bangladesh"" matches exactly. The authors ""Hassan, K. K."" and ""Alam, M. M."" correspond accurately despite slight formatting differences, and the year 2016 aligns perfectly. The journal name ""Journal of Business Studies Quarterly"" was identical in both the citation and evidence. No DOI or other identifier was present, but the other critical fields confirm this citation as correct.

- https://www.tandfonline.com
- https://www.emerald.com
- https://link.springer.com",1.0,0.0
"Kaboski, J. P., & Townsend, R. M. (2012). The impact of credit on rural households in Thailand. *American Economic Journal: Applied Economics*, *4*(1), 1–34.",Microfinance loan repayment,gemma_3_27b,needs-human,Reference requires human review.,CONTRADICTION,MATCH,MATCH,MATCH,ABSENT,The impact of credit on village economies,J P Kaboski; R M Townsend,2012.0,American Economic Journal: Applied Economics,10.1257/app.4.2.98,https://pubs.aeaweb.org/doi/abs/10.1257/app.4.2.98,GOOGLE,3.0,1.0,0.0,1.0,0.0,The impact of credit on rural households in Thailand.,The impact of credit on village economies,"Kaboski, J. P.; Townsend, R. M.",J P Kaboski; R M Townsend,2012.0,2012.0,American Economic Journal: Applied Economics,American Economic Journal: Applied Economics,,10.1257/app.4.2.98,0,0,2,GOOGLE,0,"✗ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
The reference could not be conclusively verified because the main title about credit impact differs in focus and geographic scope from the best available match, despite matching authors, year, and journal. The cited article mentions rural households in Thailand, while the verified one focuses on village economies.

### Details
A matching record with the same authors (Kaboski and Townsend), year (2012), and journal (American Economic Journal: Applied Economics) was found, but the title ""The impact of credit on village economies"" contradicts the queried title ""The impact of credit on rural households in Thailand."" The geographic focus and unit of analysis differ, suggesting they are not the same document. No digital identifier was found to help resolve this discrepancy.

- https://pubs.aeaweb.org/doi/abs/10.1257/app.4.2.98",0.333,0.667
"Khandker, S. R. (2005). Microfinance and poverty: Evidence from Bangladesh. *World Bank Publications*.",Microfinance loan repayment,gemma_3_27b,verified-with-error,"Khandker, S. R. (2005). *Microfinance and Poverty: Evidence Using Panel Data from Bangladesh*. *The World Bank Economic Review*, 19(2), 263-286. https://doi.org/10.1093/wber/lhi008",CONTAINS,MATCH,MATCH,CONTAINS,ABSENT,Microfinance and Poverty: Evidence Using Panel Data from Bangladesh,Shahidur R. Khandker,2005.0,The World Bank Economic Review,10.1093/wber/lhi008,https://doi.org/10.1093/wber/lhi008,GOOGLE,2.0,0.0,2.0,1.0,0.0,Microfinance and poverty: Evidence from Bangladesh,Microfinance and Poverty: Evidence Using Panel Data from Bangladesh,"Khandker, S. R.",Shahidur R. Khandker,2005.0,2005.0,World Bank Publications,The World Bank Economic Review,,10.1093/wber/lhi008,2,2,2,GOOGLE,0,"◐ Title | ✓ Authors | ✓ Year | ◐ Venue | ○ ID

### Summary
The reference was verified but with minor differences found in the details. The author and year matched exactly, and the core part of the title was confirmed, though the verified article includes an extended subtitle ""Using Panel Data"". The venue differs slightly; the original states ""World Bank Publications,"" while the verified source is an article from ""The World Bank Economic Review,"" which are related but distinct entities.

### Details
A matching document was found for Shahidur R. Khandker in 2005 with the title ""Microfinance and Poverty: Evidence Using Panel Data from Bangladesh."" This matches the cited work's key title elements and author, confirming them reliably. The publication year is the same, supporting a strong temporal match. The venue differs as the original cites the publisher ""World Bank Publications,"" whereas the verification found the paper published in the journal ""The World Bank Economic Review,"" published by Oxford University Press for the World Bank. No DOI was originally given; the matched article's DOI is 10.1093/wber/lhi008. URLs from World Bank and Oxford University Press sources provide further evidence.

- https://doi.org/10.1093/wber/lhi008
- https://documents1.worldbank.org/curated/en/284801468013215718/pdf/774910JRN020050ofinance0and0Poverty.pdf",0.733,0.267
"Masuda, T., & Alam, M. M. (2018). The role of social capital in microfinance loan repayment: Evidence from Bangladesh. *Journal of Rural Studies*, *59*, 128–137.",Microfinance loan repayment,gemma_3_27b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""The role of social capital in microfinance loan repayment: Evidence from Bangladesh"" by Masuda and Alam from 2018 was found. The reference could not be confirmed in the Journal of Rural Studies or through other searches.

### Details
A search in OpenAlex with the given title, authors, and year returned no matching work. Additionally, a Google Scholar search did not find any article matching the exact title or authors in the specified journal and year. Several unrelated publications mentioning microfinance or Bangladesh appeared, but none corresponded to this reference.

- https://openalex.org
- https://scholar.google.com",0.0,1.0
"Morduch, J. (1999). The microfinance revolution: An overview. *Journal of Economic Literature*, *37*(1), 1565–1594.",Microfinance loan repayment,gemma_3_27b,needs-human,Reference requires human review.,CONTRADICTION,MATCH,MATCH,MATCH,ABSENT,The Microfinance Promise,J Morduch,1999.0,Journal of Economic Literature,10.1257/jel.37.4.1569,https://www.aeaweb.org/articles?id=10.1257/jel.37.4.1569,GOOGLE,3.0,1.0,0.0,1.0,0.0,The microfinance revolution: An overview,The Microfinance Promise,"Morduch, J.",J Morduch,1999.0,1999.0,Journal of Economic Literature,Journal of Economic Literature,,10.1257/jel.37.4.1569,0,0,2,GOOGLE,0,"✗ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
The original reference and the found article both list Jonathan Morduch as the author and were published in 1999 in the Journal of Economic Literature. However, the titles differ significantly: the original title is ""The microfinance revolution: An overview,"" while the confirmed article's title is ""The Microfinance Promise."" Because the core subject in the titles is different, the verification result requires human review.

### Details
A matching author and year were found: Jonathan Morduch (J Morduch) in 1999, published in the Journal of Economic Literature. However, the title in the original reference does not match the confirmed article's title. The original mentions ""The microfinance revolution: An overview,"" but the found article is titled ""The Microfinance Promise"" with DOI 10.1257/jel.37.4.1569 and URL https://www.aeaweb.org/articles?id=10.1257/jel.37.4.1569. Multiple searches confirmed that ""The Microfinance Promise"" by Morduch (1999) is the known article in that journal and year, while the other title appears linked to different authors or sources. This inconsistency means manual checking is needed to verify the correct reference.

- https://www.aeaweb.org/articles?id=10.1257/jel.37.4.1569
- https://www.researchgate.net/publication/5047480_The_Microfinance_Revolution_An_Overview",0.333,0.667
"Puhazhendhi, V., & Satyasai, K. J. S. (2016). Factors influencing loan repayment performance of self-help groups in India. *International Journal of Bank Marketing*, *34*(7), 948–964.",Microfinance loan repayment,gemma_3_27b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference ""Factors influencing loan repayment performance of self-help groups in India"" by Puhazhendhi and Satyasai from 2016 in the International Journal of Bank Marketing.

### Details
A search using the title, author names, year, and journal name was conducted but did not yield any matching records in OpenAlex or through scholarly search engines. There was no evidence to confirm the title, authors, year, or publication in the specified journal. The search results showed no potential matches or related articles.

- [OpenAlex](https://openalex.org)
- [Google Scholar](https://scholar.google.com)",0.0,1.0
"Rahman, A., & Islam, M. M. (2017). Determinants of loan repayment performance: A study on microfinance institutions in Bangladesh. *Journal of Development Studies*, *53*(6), 938–953.",Microfinance loan repayment,gemma_3_27b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,Can the availability of informal loans be detrimental to microloan repayment?: Some empirical evidence from Bangladesh,A H Khan; H Dewan,2017.0,The Journal of Developing Areas,,https://muse.jhu.edu/pub/51/article/662847/summary,GOOGLE,1.0,3.0,0.0,1.0,0.0,Determinants of loan repayment performance: A study on microfinance institutions in Bangladesh,Can the availability of informal loans be detrimental to microloan repayment?: Some empirical evidence from Bangladesh,"Rahman, A.; Islam, M. M.",A H Khan; H Dewan,2017.0,2017.0,Journal of Development Studies,The Journal of Developing Areas,,https://muse.jhu.edu/pub/51/article/662847/summary,0,0,3,GOOGLE,0,"✗ Title | ✗ Authors | ✓ Year | ✗ Venue | ○ ID

### Summary
No matching article was found that corresponds to the cited reference. The search identified a different 2017 article on a related topic but with different authors and a different journal.

### Details
A search for the article titled ""Determinants of loan repayment performance: A study on microfinance institutions in Bangladesh"" by Rahman, A. and Islam, M. M. published in 2017 did not locate any record matching these authors, title, or journal. Instead, a 2017 article titled ""Can the availability of informal loans be detrimental to microloan repayment?: Some empirical evidence from Bangladesh"" was found, authored by A H Khan and H Dewan and published in ""The Journal of Developing Areas."" The titles and authors do not overlap, and the journals named are different, indicating these are separate works.

- https://muse.jhu.edu/pub/51/article/662847/summary",0.0,1.0
"Yaron, J. (1994). Microcredit: A new approach to poverty alleviation. *World Bank Discussion Papers*, *268*.",Microfinance loan repayment,gemma_3_27b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching record could be found for the reference ""Yaron, J. (1994). Microcredit: A new approach to poverty alleviation. World Bank Discussion Papers, 268."" None of the key details such as the title, author, year, or publication series were confirmed.

### Details
A search using the title, author, and year on OpenAlex returned no matches. Extensive web searches, including queries targeting the exact title and publication number, also failed to find a corresponding World Bank Discussion Paper numbered 268 by J. Yaron in 1994. While other works by J. Yaron related to rural finance and World Bank papers exist, this specific reference does not appear in accessible records or databases.

- https://openalex.org
- https://documents1.worldbank.org
- Google web search results",0.0,1.0
"Bazilian, M., Onyeji, I., Liebreich, M., MacGill, I., Chase, J., Shah, J., ... & Rogner, H. H. (2011). Re-considering the economics of photovoltaic power. *Renewable and Sustainable Energy Reviews, 15*(5), 2683–2692.",Mini-grid electrification,gemma_3_27b,verified-with-error,"Bazilian, M., Onyeji, I., Liebreich, M., MacGill, I., Chase, J., Shah, J., Gielen, D., Arent, D. J., Landfear, D., & Shi, Z. (2013). Re-considering the economics of photovoltaic power. *Renewable Energy*, 53, 329-338. https://doi.org/10.1016/j.renene.2012.11.029",MATCH,MATCH,CONTRADICTION,CONTAINS,ABSENT,Re-considering the economics of photovoltaic power,Morgan Bazilian; Ijeoma Onyeji; Michael Liebreich; I MacGill; J. Chase; Jigar Shah; Dolf Gielen; D. J. Arent; Doug Landfear; Shi Zhengrong,2013.0,Renewable Energy,10.1016/j.renene.2012.11.029,https://doi.org/10.1016/j.renene.2012.11.029,GOOGLE,2.0,1.0,1.0,1.0,0.0,Re-considering the economics of photovoltaic power,Re-considering the economics of photovoltaic power,"Bazilian, M.; Onyeji, I.; Liebreich, M.; MacGill, I.; Chase, J.; Shah, J.; Rogner, H. H.",Morgan Bazilian; Ijeoma Onyeji; Michael Liebreich; I MacGill; J. Chase; Jigar Shah; Dolf Gielen; D. J. Arent; Doug Landfear; Shi Zhengrong,2011.0,2013.0,Renewable and Sustainable Energy Reviews,Renewable Energy,,10.1016/j.renene.2012.11.029,0,0,1,GOOGLE,0,"✓ Title | ✓ Authors | ✗ Year | ◐ Venue | ○ ID

### Summary
This reference was confirmed but with some discrepancies. The article titled ""Re-considering the economics of photovoltaic power"" was found, authored by many of the same researchers, though there are additional authors and the source journal and year differ slightly from the original.

### Details
A matching record was found with the exact same title and significant author overlap, including Morgan Bazilian, Ijeoma Onyeji, and Michael Liebreich, though the verified record lists more authors and excludes Rogner H.H. The year of publication is 2013, two years later than the provided 2011 date. Also, the original cited journal ""Renewable and Sustainable Energy Reviews"" differs from the verified journal ""Renewable Energy,"" though both are Elsevier publications. No DOI was present in the original reference, but the verified article includes https://doi.org/10.1016/j.renene.2012.11.029.

- https://doi.org/10.1016/j.renene.2012.11.029",0.5,0.5
