reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Jain, A. K., Prabhakar, S., & Hong, L. (2008). Biometric voter registration: Challenges and opportunities. *IEEE Transactions on Information Forensics and Security*, 3(2), 123‑135.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Biometric voter registration: Challenges and opportunities"" by Jain, A. K., Prabhakar, S., and Hong, L. from 2008 in the IEEE Transactions on Information Forensics and Security was found. The reference could not be verified as no evidence or candidate matches were identified.

### Details
A search in OpenAlex returned no matching records for this article. Additional searches through scholarly sources did not find any article matching the title, authors, year, or journal details provided. The closest related works found were on biometric voting systems but did not match the specific reference details. No DOI or other identifiers were found to confirm the citation.

- https://ieeexplore.ieee.org/
- https://openalex.org/
- https://scholar.google.com/",0.0,1.0
"Gomez, M., & Patel, R. (2012). Fingerprint authentication for voter roll integrity in developing nations. *International Journal of Biometrics*, 4(3), 211‑224.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTAINS,ABSENT,Identification for development: The biometrics revolution,A Gelb,2000,SSRN Electronic Journal,,https://www.academia.edu/download/74836822/18394c6050fdd6a839a949d9c0ae17d6c9a8.pdf,GOOGLE,0,3,1,1,0,Fingerprint authentication for voter roll integrity in developing nations.,Identification for development: The biometrics revolution,"Gomez, M.; Patel, R.",A Gelb,2012,2000,International Journal of Biometrics,SSRN Electronic Journal,,https://www.academia.edu/download/74836822/18394c6050fdd6a839a949d9c0ae17d6c9a8.pdf,0,0,3,GOOGLE,1,"✗ Title | ✗ Authors | ✗ Year | ◐ Venue | ○ ID

### Summary
No matching article could be found for the reference by Gomez and Patel (2012) on fingerprint authentication for voter roll integrity. The available evidence points to a different work by Gelb (2000) on biometrics in development, which does not match the citation in authors, title, or year.

### Details
A search found no record matching the cited article's title, authors, or year. The closest found work was by A Gelb in 2000 titled ""Identification for development: The biometrics revolution,"" published in SSRN Electronic Journal, which differs significantly in subject, authorship, and publication year from the citation. The citation's journal, International Journal of Biometrics, and the preprint server SSRN represent different publication types, further indicating no match.

- https://www.academia.edu/download/74836822/18394c6050fdd6a839a949d9c0ae17d6c9a8.pdf",0.0,1.0
"Kumar, S., & Lee, J. (2014). Iris‑based voter identification: Field trials in South Asia. *Proceedings of the 12th International Conference on Biometrics (ICB)*, 78‑85.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Iris‑based voter identification: Field trials in South Asia"" by Kumar and Lee from 2014 could be found in the available databases or search results. The reference could not be confirmed in the conference proceedings or other sources.

### Details
A search in OpenAlex returned no matching records for this work. Additional searches in scholarly databases found several articles related to iris-based voting systems, but none matched the exact title, authors, year, or conference. The year 2014 and the specific conference ""12th International Conference on Biometrics (ICB)"" were not confirmed in any results. The closest related works found were from different years and authors, indicating no direct match.

- https://ieeexplore.ieee.org/
- https://pubs.aip.org/
- https://ajaccm.com/journal/index.php/ajaccm/article/view/118
- http://210.212.227.212:8080/jspui/handle/123456789/399",0.0,1.0
"Al‑Hussein, A., & Mahmoud, H. (2015). Evaluating multimodal biometrics for electoral registration systems. *Journal of Election Technology*, 7(1), 33‑48.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,Multi-modal palm-print and hand-vein biometric recognition at sensor level fusion.,H Al-Mahafzah; T AbuKhalil; M Alksasbeh,2023,… Journal of Electrical …,,https://www.researchgate.net/profile/Malek-Alksasbeh/publication/366095087_Multi-modal_palm-print_and_hand-vein_biometric_recognition_at_sensor_level_fusion/links/6391b0eee42faa7e75a8a7ca/Multi-modal-palm-print-and-hand-vein-biometric-recognition-at-sensor-level-fusion.pdf,GOOGLE,0,4,0,1,0,Evaluating multimodal biometrics for electoral registration systems,Multi-modal palm-print and hand-vein biometric recognition at sensor level fusion.,"Al‑Hussein, A.; Mahmoud, H.",H Al-Mahafzah; T AbuKhalil; M Alksasbeh,2015,2023,Journal of Election Technology,… Journal of Electrical …,,https://www.researchgate.net/profile/Malek-Alksasbeh/publication/366095087_Multi-modal_palm-print_and_hand-vein_biometric_recognition_at_sensor_level_fusion/links/6391b0eee42faa7e75a8a7ca/Multi-modal-palm-print-and-hand-vein-biometric-recognition-at-sensor-level-fusion.pdf,0,0,3,GOOGLE,0,"✗ Title | ✗ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference by Al-Hussein and Mahmoud (2015) titled ""Evaluating multimodal biometrics for electoral registration systems."" The details such as title, authors, year, and journal do not align with any found records.

### Details
A search found no records matching the title or authors of the cited article. The closest found work is a 2023 article titled ""Multi-modal palm-print and hand-vein biometric recognition at sensor level fusion"" by different authors (Al-Mahafzah, AbuKhalil, Alksasbeh) published in a journal related to electrical engineering, which differs significantly in topic, authorship, publication year, and journal name. The year 2015 does not match the 2023 publication year of the found article, and the journal names are also different. No DOI or other identifier was provided in the original citation to assist verification.

- https://www.researchgate.net/profile/Malek-Alksasbeh/publication/366095087_Multi-modal_palm-print_and_hand-vein_biometric_recognition_at_sensor_level_fusion/links/6391b0eee42faa7e75a8a7ca/Multi-modal-palm-print-and-hand-vein-biometric-recognition-at-sensor-level-fusion.pdf",0.0,1.0
"Silva, P., & Torres, L. (2017). Privacy‑preserving biometric voter databases: A cryptographic approach. *Computers & Security*, 68, 1‑12.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,Improving the Integrity of a Voting Process with Biometric Authentication and Data Encryption,WM Molina; D Subauste,2023,"Journal of Systemics, Cybernetics and …",,https://www.iiisci.org/JOURNAL/PDV/sci/pdfs/SA225JL23.pdf,GOOGLE,0,4,0,1,0,Privacy‑preserving biometric voter databases: A cryptographic approach,Improving the Integrity of a Voting Process with Biometric Authentication and Data Encryption,"Silva, P.; Torres, L.",WM Molina; D Subauste,2017,2023,*Computers & Security*,"Journal of Systemics, Cybernetics and …",,https://www.iiisci.org/JOURNAL/PDV/sci/pdfs/SA225JL23.pdf,0,0,3,GOOGLE,1,"✗ Title | ✗ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference by Silva and Torres (2017) on privacy-preserving biometric voter databases. The available evidence points to a different article published in 2023 by Molina and Subauste on biometric authentication and data encryption, which has distinct authors, title, year, and journal.

### Details
A matching record was not found for the cited article in Computers & Security from 2017 by Silva and Torres. The closest found article is titled ""Improving the Integrity of a Voting Process with Biometric Authentication and Data Encryption"" by WM Molina and D Subauste, published in 2023 in the Journal of Systemics, Cybernetics and … This article differs significantly in title, authorship, publication year, and venue from the original reference. No DOI was available for either, and the original citation lacks an identifier. The year 2017 does not match the 2023 publication year of the found article, and the authors Silva and Torres do not overlap with Molina and Subauste.

- [Found article PDF](https://www.iiisci.org/JOURNAL/PDV/sci/pdfs/SA225JL23.pdf)",0.0,1.0
"Miller, D., & Osei, K. (2018). Deploying palm‑vein verification in national elections: Lessons from Ghana. *Technical Report*, International Institute for Democracy & Electoral Assistance (IDEA).",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching report or article titled ""Deploying palm‑vein verification in national elections: Lessons from Ghana"" by Miller and Osei from 2018 could be found. The reference could not be confirmed in any known databases or search results.

### Details
A search through OpenAlex and general web searches did not find any records matching the title, authors, year, or publisher details provided. No potential matches or similar documents were identified that correspond to this technical report from the International Institute for Democracy & Electoral Assistance (IDEA). The year 2018 and the authors Miller and Osei were not confirmed in any related sources.

- [OpenAlex](https://openalex.org)
- [Google Search Results](https://www.google.com/search?q=Deploying+palm-vein+verification+in+national+elections+Lessons+from+Ghana)",0.0,1.0
"Wang, Y., & Chen, X. (2019). Scalability of fingerprint‑based voter registration in large‑scale elections. *IEEE Access*, 7, 145‑156.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Wang and Chen (2019) on scalability of fingerprint-based voter registration in large-scale elections. The search did not confirm the title, authors, year, or journal details.

### Details
A search in OpenAlex and other scholarly databases found no records matching the given title, authors, or publication year. Multiple related articles on fingerprint-based voting and scalability were found, but none matched the exact reference details. The year 2019 and the journal IEEE Access were not confirmed by any evidence.

- https://link.springer.com/article/10.1007/s10586-023-04261-x
- https://ieeexplore.ieee.org/abstract/document/10973981/
- https://ieeexplore.ieee.org/abstract/document/10847284/",0.0,1.0
"Rossi, F., & Bianchi, M. (2020). Legal and ethical implications of biometric voter registration in the European Union. *European Journal of Law and Technology*, 11(2), 89‑107.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,Biometric voter registration: A new modality of democracy assistance?,,,,,https://www.researchgate.net/publication/345446957_Biometric_voter_registration_A_new_modality_of_democracy_assistance,GOOGLE,0,1,0,1,3,Legal and ethical implications of biometric voter registration in the European Union.,Biometric voter registration: A new modality of democracy assistance?,"Rossi, F.; Bianchi, M.",,2020,,European Journal of Law and Technology,,,https://www.researchgate.net/publication/345446957_Biometric_voter_registration_A_new_modality_of_democracy_assistance,0,0,3,GOOGLE,0,"✗ Title | ? Authors | ? Year | ? Venue | ○ ID

### Summary
No matching article could be found for the reference by Rossi and Bianchi (2020) titled ""Legal and ethical implications of biometric voter registration in the European Union"" in the European Journal of Law and Technology. The search results showed a different article with a broader focus on biometric voter registration as a modality of democracy assistance, which does not match the specific title or scope.

### Details
A matching record was not found in OpenAlex or other academic databases. The title in the citation contradicts the best potential match found, which focuses on democracy assistance rather than EU-specific legal and ethical implications. The authors and year could not be confirmed due to lack of matching metadata. No DOI or other identifier was available to verify the reference. The best potential match found was a ResearchGate publication titled ""Biometric voter registration: A new modality of democracy assistance?"" which differs significantly in focus and scope from the cited article.

- https://www.researchgate.net/publication/345446957_Biometric_voter_registration_A_new_modality_of_democracy_assistance",0.0,1.0
"Nguyen, T., & Park, S. (2021). Deep learning for real‑time facial recognition in voter verification. *Proceedings of the 2021 ACM Conference on Computer and Communications Security (CCS)*, 1123‑1135.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,Facial recognition and manual verification automation device for polling booths (DigiVoter),P Sudhakaran; V Rekha; V Sindhu; M Preetha,2024,"Conference on Recent …, Springer",10.1007/978-981-97-8946-7_11,https://link.springer.com/chapter/10.1007/978-981-97-8946-7_11,GOOGLE,0,4,0,1,0,Deep learning for real‑time facial recognition in voter verification,Facial recognition and manual verification automation device for polling booths (DigiVoter),"Nguyen, T.; Park, S.",P Sudhakaran; V Rekha; V Sindhu; M Preetha,2021,2024,Proceedings of the 2021 ACM Conference on Computer and Communications Security (CCS),"Conference on Recent …, Springer",,10.1007/978-981-97-8946-7_11,0,0,3,GOOGLE,0,"✗ Title | ✗ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference by Nguyen and Park (2021) on deep learning for real-time facial recognition in voter verification. The search results instead found a different work from 2024 by Sudhakaran et al. about a facial recognition and manual verification device for polling booths.

### Details
A matching record was not found for the cited article in the ACM CCS 2021 conference. The title, authors, year, and venue all differ significantly from the best available candidate, which is a 2024 Springer conference paper by Sudhakaran, Rekha, Sindhu, and Preetha. The cited year 2021 contrasts with 2024, and the topics, authors, and publication venues do not align. No DOI or other identifier was present in the original citation to aid verification.

- https://link.springer.com/chapter/10.1007/978-981-97-8946-7_11",0.0,1.0
"Patel, N., & Singh, R. (2023). A dissertation on the impact of biometric voter registration on electoral fraud reduction. *Doctoral dissertation*, University of California, Berkeley.",Biometric voter registration,gpt_oss_120b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching dissertation or publication by Patel and Singh from 2023 on the impact of biometric voter registration was found. The reference could not be verified as no records or evidence were located.

### Details
A search in OpenAlex and Google did not find any matching work with the given title, authors, year, or university affiliation. There were no potential matches or related records discovered in the databases checked.

- https://openalex.org
- https://www.google.com/search",0.0,1.0
