reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Wang, M. T., & Eccles, J. S. (2013). School context, achievement motivation, and academic engagement: A longitudinal study of school engagement using a multidimensional perspective. Learning and Instruction, 28, 12–23.",Education,kimi_k2_1t_a32b,verified,"Wang, M.-T., & Eccles, J. S. (2013). School context, achievement motivation, and academic engagement: A longitudinal study of school engagement using a multidimensional perspective. *Learning and Instruction*, 28, 12-23. https://doi.org/10.1016/j.learninstruc.2013.04.002",MATCH,MATCH,MATCH,MATCH,ABSENT,"School context, achievement motivation, and academic engagement: A longitudinal study of school engagement using a multidimensional perspective",Ming‐Te Wang; Jacquelynne S. Eccles,2013.0,Learning and Instruction,10.1016/j.learninstruc.2013.04.002,https://doi.org/10.1016/j.learninstruc.2013.04.002,GOOGLE,4.0,0.0,0.0,1.0,0.0,"School context, achievement motivation, and academic engagement: A longitudinal study of school engagement using a multidimensional perspective.","School context, achievement motivation, and academic engagement: A longitudinal study of school engagement using a multidimensional perspective","Wang, M. T.; Eccles, J. S.",Ming‐Te Wang; Jacquelynne S. Eccles,2013.0,2013.0,Learning and Instruction,Learning and Instruction,,10.1016/j.learninstruc.2013.04.002,1.0,1.0,1.0,GOOGLE,0.0,"✓ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This article was confirmed in the journal Learning and Instruction with matching authors Ming-Te Wang and Jacquelynne S. Eccles and the publication year 2013. The title also matched exactly with the citation.

### Details
A matching record was found with the exact title ""School context, achievement motivation, and academic engagement: A longitudinal study of school engagement using a multidimensional perspective."" The authors in the citation, listed as Wang M. T. and Eccles J. S., correspond exactly to the authors in the record, Ming-Te Wang and Jacquelynne S. Eccles, showing the same individuals with names in full and initials. The year 2013 matched exactly, and the article was found in the journal Learning and Instruction. Although no identifier was provided in the original citation, the matching record includes the DOI 10.1016/j.learninstruc.2013.04.002.

- https://doi.org/10.1016/j.learninstruc.2013.04.002",1.0,0.0
IPCC. (2018). Global warming of 1.5 °C. World Meteorological Organization.,Climate change,kimi_k2_1t_a32b,verified-with-error,IPCC. (2022). Global Warming of 1.5°C. *Cambridge University Press eBooks*. https://doi.org/10.1017/9781009157940,MATCH,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,Global Warming of 1.5°C,IPCC,2022.0,Cambridge University Press eBooks,10.1017/9781009157940,https://doi.org/10.1017/9781009157940,GOOGLE,2.0,2.0,0.0,1.0,0.0,Global warming of 1.5 °C,Global Warming of 1.5°C,IPCC,IPCC,2018.0,2022.0,World Meteorological Organization,Cambridge University Press eBooks,,10.1017/9781009157940,0.0,0.0,1.0,GOOGLE,0.0,"✓ Title | ✓ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
This report titled ""Global Warming of 1.5°C"" by IPCC was found and confirmed with exact matching title and author. However, the published year differs from 2018 in the citation to 2022 in the verified record, and the publisher is Cambridge University Press eBooks rather than World Meteorological Organization.

### Details
A matching record was found with the exact title ""Global Warming of 1.5°C"" and author ""IPCC."" The year in the citation is 2018, but the verified source lists 2022, which is a notable difference. Additionally, the citation names World Meteorological Organization as the publisher, but the verified record shows Cambridge University Press eBooks. No identifier was present in the original reference. The verified source can be accessed via https://doi.org/10.1017/9781009157940.

- https://doi.org/10.1017/9781009157940",0.2,0.8
"Hansen, J., Sato, M., & Ruedy, R. (2012). Perception of climate change. Proceedings of the National Academy of Sciences, 109(37), E2415–E2423.",Climate change,kimi_k2_1t_a32b,verified,"Hansen, J. E., Sato, M., & Rüedy, R. (2012). *Perception of climate change*. *Proceedings of the National Academy of Sciences*, 109(37), E2415–E2423. https://doi.org/10.1073/pnas.1205276109",MATCH,MATCH,MATCH,MATCH,ABSENT,Perception of climate change,James E. Hansen; Makiko Sato; Reto Rüedy,2012.0,Proceedings of the National Academy of Sciences,10.1073/pnas.1205276109,https://doi.org/10.1073/pnas.1205276109,GOOGLE,4.0,0.0,0.0,1.0,0.0,Perception of climate change,Perception of climate change,"Hansen, J.; Sato, M.; Ruedy, R.",James E. Hansen; Makiko Sato; Reto Rüedy,2012.0,2012.0,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,,10.1073/pnas.1205276109,1.0,1.0,1.0,GOOGLE,0.0,"✓ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This article was confirmed in the *Proceedings of the National Academy of Sciences* with matching authors James E. Hansen, Makiko Sato, and Reto Rüedy, and the year 2012. The title ""Perception of climate change"" was verified exactly as cited.

### Details
A matching record was found with the exact title ""Perception of climate change"" and the same year, 2012. The authors matched despite differences in name formatting (initials versus full names and a diacritic on Rüedy). The journal name matched exactly. No identifier was provided in the original citation, but the article is registered with DOI 10.1073/pnas.1205276109 at [https://doi.org/10.1073/pnas.1205276109](https://doi.org/10.1073/pnas.1205276109).

- https://doi.org/10.1073/pnas.1205276109",1.0,0.0
"Shepherd, L. A. (2017). *Biometric voter registration technology deployment in Sierra Leone and its effects on citizen participation* (Doctoral dissertation, University of Washington). University of Washington Libraries.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching doctoral dissertation by L. A. Shepherd titled ""Biometric voter registration technology deployment in Sierra Leone and its effects on citizen participation"" from 2017 at the University of Washington could be found in available academic and online databases.

### Details
A search in the OpenAlex research database yielded no results matching the title, author, or year. Additionally, a general online search did not return any relevant records or direct references to the dissertation. There is no evidence confirming the existence or details of this work in accessible sources.

- https://openalex.org
- https://www.google.com/search?q=Biometric+voter+registration+technology+deployment+in+Sierra+Leone+and+its+effects+on+citizen+participation+Shepherd+2017+dissertation+University+of+Washington",0.0,1.0
"Jain, A. K., Ross, A., & Nandakumar, K. (2016). Voter identity management: Biometric solutions. In *Handbook of biometrics* (pp. 419–442). Springer, Boston.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,Adaptive fusion of biometric and biographic information for identity de-duplication,P S Sudhish; A K Jain; K Cao,2016.0,Pattern Recognition Letters,,https://www.sciencedirect.com/science/article/pii/S0167865516302768,GOOGLE,1.0,3.0,0.0,1.0,0.0,Voter identity management: Biometric solutions.,Adaptive fusion of biometric and biographic information for identity de-duplication,"Jain, A. K.; Ross, A.; Nandakumar, K.",P S Sudhish; A K Jain; K Cao,2016.0,2016.0,Springer,Pattern Recognition Letters,,https://www.sciencedirect.com/science/article/pii/S0167865516302768,0.0,0.0,3.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ✓ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference ""Voter identity management: Biometric solutions"" by Jain, Ross, and Nandakumar from 2016. The verification process identified major differences in title, authors, and publication venue despite the matching year.

### Details
A search revealed a different work from 2016 involving author A. K. Jain but with different coauthors (Sudhish and Cao) and a different title focused on ""Adaptive fusion of biometric and biographic information for identity de-duplication."" This paper was published in the journal Pattern Recognition Letters by Elsevier, whereas the original reference claimed a chapter in the Springer-published handbook. The title and authorship differences indicate that the original cited work could not be confirmed in available records.

- https://www.sciencedirect.com/science/article/pii/S0167865516302768
- https://ieeexplore.ieee.org/
- https://www.researchgate.net
- https://link.springer.com
- https://www.taylorfrancis.com
",0.0,1.0
"Kaczan, D., Arslan, A., & Lipper, L. (2013). Climate-smart agriculture? A review of current practice. FAO.",Climate-smart agriculture for smallholder farmers,kimi_k2_1t_a32b,verified-with-error,"Kaczan, D., Arslan, A., & Lipper, L. (2013). Climate-Smart Agriculture? A review of current practice of agroforestry and conservation agriculture in Malawi and Zambia. *AgEcon Search (University of Minnesota, USA) / Food and Agriculture Organization (FAO)*. http://ageconsearch.umn.edu/record/288985",CONTAINS,MATCH,MATCH,MATCH,ABSENT,Climate-Smart Agriculture? A review of current practice of agroforestry and conservation agriculture in Malawi and Zambia,David Kaczan; Aslihan Arslan; Leslie Lipper,2013.0,"AgEcon Search (University of Minnesota, USA) / Food and Agriculture Organization (FAO) publication",10.22004/ag.econ.288985,https://ageconsearch.umn.edu/record/288985/,GOOGLE,3.0,0.0,1.0,1.0,0.0,Climate-smart agriculture? A review of current practice.,Climate-Smart Agriculture? A review of current practice of agroforestry and conservation agriculture in Malawi and Zambia,"Kaczan, D.; Arslan, A.; Lipper, L.",David Kaczan; Aslihan Arslan; Leslie Lipper,2013.0,2013.0,FAO,"AgEcon Search (University of Minnesota, USA) / Food and Agriculture Organization (FAO) publication",,10.22004/ag.econ.288985,1.0,1.0,1.0,GOOGLE,0.0,"◐ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This reference was verified with some minor differences found in the title and venue description. The authors and year of publication matched exactly, confirming the core information. The title in the verified record is longer, including a subtitle specifying agroforestry and conservation agriculture in Malawi and Zambia, and the venue is described more fully as a joint publication by AgEcon Search (University of Minnesota) and FAO.

### Details
A matching record was found with the year 2013 and the three authors correctly identified as David Kaczan, Aslihan Arslan, and Leslie Lipper. The title was confirmed to contain the submitted phrase but was expanded in the found record to include more detail about the geographic and practice focus. The venue matched as FAO, though the full source also referenced AgEcon Search (University of Minnesota). The verified record has no DOI included in the original citation but does have a DOI (10.22004/ag.econ.288985) in the found source. Relevant sources for this information include the AgEcon Search record and FAO’s official publication link.

- [AgEcon Search Record](https://ageconsearch.umn.edu/record/288985/)
- [FAO Publication](https://www.fao.org/agrifood-economics/publications/detail/en/c/206851/)",0.833,0.167
"Cruz, M., & Koning, R. (2018). The impact of biometric voter registration on voter turnout in Ghana. *African Journal of Political Science, 21*(2), 87–103.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article was found for the provided reference by Cruz and Koning from 2018 titled ""The impact of biometric voter registration on voter turnout in Ghana"" in the African Journal of Political Science or elsewhere.

### Details
A search using the article title, author names, and publication year on OpenAlex did not find any matching records. Additionally, a broader scholarly search returned no relevant results related to this article. As no evidence was found to support the existence of this article, the reference remains unverified.

- [OpenAlex](https://openalex.org)
- [Scholar Search]",0.0,1.0
"Commonwealth. (2014). *Biometric technology in elections: A best-practice framework for electoral commissions*. Commonwealth Secretariat, London.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,CONTRADICTION,CONTAINS,UNCONFIRMED,MATCH,ABSENT,Cybersecurity for Elections: A Commonwealth Guide on Best Practice,Commonwealth Secretariat,,Commonwealth Secretariat,,https://production-new-commonwealth-files.s3.eu-west-2.amazonaws.com/s3fs-public/documents/Cybersecurity_for_Elections_PDF_0.pdf?VersionId=VzFA_vIHTR_q_SEJbDsVF.ErLR5I_QMH,GOOGLE,1.0,1.0,1.0,1.0,1.0,Biometric technology in elections: A best-practice framework for electoral commissions,Cybersecurity for Elections: A Commonwealth Guide on Best Practice,Commonwealth,Commonwealth Secretariat,2014.0,,Commonwealth Secretariat,Commonwealth Secretariat,,https://production-new-commonwealth-files.s3.eu-west-2.amazonaws.com/s3fs-public/documents/Cybersecurity_for_Elections_PDF_0.pdf?VersionId=VzFA_vIHTR_q_SEJbDsVF.ErLR5I_QMH,0.0,0.0,3.0,GOOGLE,1.0,"✗ Title | ◐ Authors | ? Year | ✓ Venue | ○ ID

### Summary
No matching report titled ""Biometric technology in elections: A best-practice framework for electoral commissions"" by Commonwealth Secretariat from 2014 could be found. The closest available document relates to cybersecurity in elections, which differs significantly in focus.

### Details
A detailed search produced a report titled ""Cybersecurity for Elections: A Commonwealth Guide on Best Practice"" authored by the Commonwealth Secretariat and hosted by the same publisher, which matches the venue. However, its title and subject matter focus on cybersecurity rather than biometric technology, indicating a contradiction with the requested reference's title. The year 2014 could not be confirmed in the candidate record, and no matching identifier was found. Multiple searches failed to locate a report precisely matching the citation details.

- https://production-new-commonwealth-files.s3.eu-west-2.amazonaws.com/s3fs-public/documents/Cybersecurity_for_Elections_PDF_0.pdf?VersionId=VzFA_vIHTR_q_SEJbDsVF.ErLR5I_QMH
- https://www.idea.int/sites/default/files/publications/introducing-biometric-technology-in-elections-reissue.pdf",0.0,1.0
"Cheesman, S., Kantha, R., Smith, J., & Smith, J. (2019). Biometric voter registration in Cambodia: A review of process audit and policy implications. *Australian Electoral Commission Research Report*, Canberra.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching record of the article titled ""Biometric voter registration in Cambodia: A review of process audit and policy implications"" by Cheesman, Kantha, Smith, and Smith from 2019 was found in available academic databases or through online searches. This means the reference could not be verified.

### Details
A search was conducted using the full title, author names, publication year, and listed source, but no matching entries were discovered in OpenAlex or through general web searches including Google. The search results related to electoral registration and Cambodia did not confirm this specific report from the Australian Electoral Commission. No DOI or other unique identifiers were found to assist verification.

- [OpenAlex](https://openalex.org)
- Google search results",0.0,1.0
"Brown, I., & Mäkelä, T. (2017). Biometric voter registration technology adoption in Africa: A comparative study of Ghana and Tanzania. *Electronic Governance, 11*(1), 23–39.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article was found for the reference by Brown and Mäkelä from 2017 about biometric voter registration technology adoption in Africa. The title, authors, year, and journal information could not be confirmed.

### Details
A search in OpenAlex found no record matching the article title, authors, and year. Similarly, a scholarly search did not return any relevant results matching all the reference details. No potential matches or similar articles were identified that confirmed this publication.

- https://openalex.org
- https://scholar.google.com",0.0,1.0
"Boehm, N., & Faßunge, D. (2011). Implementation of biometric voter registration in Afghanistan. *Federal Office for Information Security (BSI) Technical Report*, Bonn.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching report or article titled ""Implementation of biometric voter registration in Afghanistan"" by Boehm and Faßunge from 2011 was found in available public records or databases. The reference could not be confirmed as there were no traces of this technical report from the Federal Office for Information Security (BSI) in Bonn.

### Details
Searches using the full title, author names, year, and the BSI technical report designation across Google, academic databases, and OpenAlex returned no results. Multiple queries including variations of the title and author keywords yielded no relevant documents matching this reference. There was no record found either in scholarly literature or official technical report repositories that confirms the existence of this document.

- [Google Search Results](https://www.google.com/search?q=%22Implementation+of+biometric+voter+registration+in+Afghanistan%22+Boehm+Fassunge+2011+BSI+Technical+Report+Bonn)
- [OpenAlex](https://openalex.org)",0.0,1.0
"Barkhatov, S., Yarmak, A. V., & Zeynalov, R. (2019). Biometric voter registration system security analysis: Lessons from Russia. *IEEE 10th International Conference on Information, Intelligence, Systems & Applications (IISA)*, Patras, Greece.",Biometric voter registration,kimi_k2_1t_a32b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference titled ""Biometric voter registration system security analysis: Lessons from Russia"" authored by Barkhatov, Yarmak, and Zeynalov from 2019. The verification process did not find any records confirming this conference paper presentation at the IEEE 10th International Conference on Information, Intelligence, Systems & Applications (IISA) in Patras, Greece.

### Details
No matching work was found in the OpenAlex database despite searching by title, author names, and year. Additionally, scholarly search queries for this specific combination of authors, title, year, and conference returned no relevant results or evidence of the referenced conference article.

- https://openalex.org
- https://scholar.google.com",0.0,1.0
"Diffenbaugh, N. S., & Burke, M. (2019). Global warming has increased inequality. Proceedings of the National Academy of Sciences, 116(20), 9808–9813.",Climate change,kimi_k2_1t_a32b,verified-with-error,"Diffenbaugh, N. S., & Burke, M. (2019). Global warming has increased global economic inequality. *Proceedings of the National Academy of Sciences*, 116(20), 9808-9813. https://doi.org/10.1073/pnas.1816020116",CONTAINS,MATCH,MATCH,MATCH,ABSENT,Global warming has increased global economic inequality,Noah S. Diffenbaugh; Marshall Burke,2019.0,Proceedings of the National Academy of Sciences,10.1073/pnas.1816020116,https://doi.org/10.1073/pnas.1816020116,GOOGLE,3.0,0.0,1.0,1.0,0.0,Global warming has increased inequality.,Global warming has increased global economic inequality,"Diffenbaugh, N. S.; Burke, M.",Noah S. Diffenbaugh; Marshall Burke,2019.0,2019.0,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,,10.1073/pnas.1816020116,1.0,1.0,1.0,GOOGLE,0.0,"◐ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
This article was found and confirmed to be the same study by Diffenbaugh and Burke published in 2019 in the Proceedings of the National Academy of Sciences. The title matched closely, with the verified version including ""global economic"" before ""inequality,"" reflecting the same work with a minor wording difference.

### Details
A matching record was found with the title ""Global warming has increased global economic inequality,"" which is a slight variation of the original title but refers to the same article. Both authors, Noah S. Diffenbaugh and Marshall Burke, matched exactly, and the publication year 2019 corresponded exactly. The venue, Proceedings of the National Academy of Sciences, also matched perfectly. There was no identifier like a DOI in the original citation, but the verified article has the DOI 10.1073/pnas.1816020116. 

- https://doi.org/10.1073/pnas.1816020116",0.833,0.167
