reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Awasthi, A., & Omrani, H. (2018). Biometric voter registration: A review and future directions. International Journal of Information Management, 36, 104-115.",Biometric voter registration,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article with the title ""Biometric voter registration: A review and future directions"" by Awasthi and Omrani from 2018 could be found. There is no confirmation of the authors, year, journal, or identifier associated with this reference in the searched sources.

### Details
A search in OpenAlex did not find any work matching the title or authors. Searches on Google and Google Scholar also failed to retrieve the cited article or any closely matching publication. Related queries returned unrelated articles or documents not connected to the reference. There was no DOI or other identifier evidence available to verify this reference.

- https://openalex.org
- https://scholar.google.com
- https://www.google.com/search",0.0,1.0
"Karlan, D., & Zinman, J. (2009). Expanding credit access to the underserved: Credit scoring and repayment incentives. Journal of Development Economics, 90(1), 29-41.",Microfinance loan repayment,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,CONTRADICTION,MATCH,CONTAINS,CONTRADICTION,ABSENT,Expanding credit access: Using randomized supply decisions to estimate the impacts,Karlan; Zinman,2010.0,The Review of Financial Studies,,https://academic.oup.com/rfs/article-abstract/23/1/433/1579262,GOOGLE,1.0,2.0,1.0,1.0,0.0,Expanding credit access to the underserved: Credit scoring and repayment incentives,Expanding credit access: Using randomized supply decisions to estimate the impacts,"Karlan, D.; Zinman, J.",Karlan; Zinman,2009.0,2010.0,Journal of Development Economics,The Review of Financial Studies,,https://academic.oup.com/rfs/article-abstract/23/1/433/1579262,0,0,1,GOOGLE,0,"✗ Title | ✓ Authors | ◐ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found that exactly corresponds to the given reference. Although the authors Karlan and Zinman match, the title, journal, and publication year differ from any found records, indicating this specific article does not appear in the searched sources.

### Details
A search for the article titled ""Expanding credit access to the underserved: Credit scoring and repayment incentives"" by Karlan and Zinman from 2009 in the Journal of Development Economics returned no results. The closest candidate found was a 2010 article by the same authors titled ""Expanding credit access: Using randomized supply decisions to estimate the impacts"" published in The Review of Financial Studies. This title and journal differ significantly from the original citation, as does the year. No DOI or direct link was found matching the original reference. These mismatches contributed to the conclusion that the reference is unverified.

- https://academic.oup.com/rfs/article-abstract/23/1/433/1579262
- https://www.poverty-action.org/sites/default/files/publications/Expanding_Credit_Acces_Jan_08.pdf
- https://www.researchgate.net/publication/4760840_Expanding_Credit_Access_Using_Randomized_Supply_Decisions_to_Estimate_the_Impacts",0.0,1.0
"McIntosh, M., & Wydick, B. W. (2000). Credit and savings for the poor in rural Guatemala. Journal of Development Studies, 37(5), 735-764.",Microfinance loan repayment,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,CONTRADICTION,CONTAINS,CONTRADICTION,CONTRADICTION,ABSENT,Credit information systems in less developed countries: A test with microfinance in Guatemala,Luoto; McIntosh; Wydick,2007.0,Economic Development and Cultural Change,,https://www.journals.uchicago.edu/doi/abs/10.1086/508714,GOOGLE,0.0,3.0,1.0,1.0,0.0,Credit and savings for the poor in rural Guatemala.,Credit information systems in less developed countries: A test with microfinance in Guatemala,"McIntosh, M.; Wydick, B. W.",Luoto; McIntosh; Wydick,2000.0,2007.0,Journal of Development Studies,Economic Development and Cultural Change,,https://www.journals.uchicago.edu/doi/abs/10.1086/508714,0,0,2,GOOGLE,0,"✗ Title | ◐ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article titled ""Credit and savings for the poor in rural Guatemala"" by McIntosh and Wydick from 2000 in the Journal of Development Studies could be found. The closest related work found addresses a different topic, includes an additional author, and was published in 2007 in a different journal.

### Details
A thorough search did not find any record matching the exact title, year, and journal of the cited reference. Instead, a related paper called ""Credit information systems in less developed countries: A test with microfinance in Guatemala"" by Luoto, McIntosh, and Wydick was found, published in 2007 in the journal Economic Development and Cultural Change. This suggests the original citation refers to a different document, as key details such as title, year, venue, and authorship do not match. 

- https://www.journals.uchicago.edu/doi/abs/10.1086/508714
- https://gps.ucsd.edu/_files/faculty/mcintosh/mcintosh_publications_credit.pdf
- https://digitalcommons.kennesaw.edu/cgi/viewcontent.cgi?article=1074&context=mayaamerica",0.0,1.0
"Islam, M., & McGuire, W. J. (2004). Repeated loan applications and the implied incentive compatibility of microfinance contracts. Journal of Microfinance, 10(1), 47-63.",Microfinance loan repayment,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference ""Islam, M., & McGuire, W. J. (2004). Repeated loan applications and the implied incentive compatibility of microfinance contracts"" in the Journal of Microfinance. The search did not confirm the title, authors, year, or journal.

### Details
Multiple searches across scholarly databases including OpenAlex and Google Scholar returned no evidence or matching record for this specific article. The title, authors Islam and McGuire, the year 2004, and the Journal of Microfinance were all unconfirmed with no potential matches found. Search results included related microfinance topics and citations but not this exact work.

- https://openalex.org/
- https://scholar.google.com/
- https://www.sciencedirect.com/
- https://www.researchgate.net/",0.0,1.0
"Wydick, B. W. (1999). Can social cohesion be measured by survey questions? Economic Development and Cultural Change, 48(1), 87-113.",Microfinance loan repayment,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,CONTRADICTION,MATCH,MATCH,CONTRADICTION,ABSENT,Can social cohesion be harnessed to repair market failures? Evidence from group lending in Guatemala,Wydick,1999.0,The Economic Journal,,https://academic.oup.com/ej/article-abstract/109/457/463/5128735,GOOGLE,2.0,2.0,0.0,1.0,0.0,Can social cohesion be measured by survey questions?,Can social cohesion be harnessed to repair market failures? Evidence from group lending in Guatemala,"Wydick, B. W.",Wydick,1999.0,1999.0,Economic Development and Cultural Change,The Economic Journal,,https://academic.oup.com/ej/article-abstract/109/457/463/5128735,0,1,2,GOOGLE,0,"✗ Title | ✓ Authors | ✓ Year | ✗ Venue | ○ ID

### Summary
The reference could not be verified because the title and journal reported do not match any known article by the author in 1999. Although the author and year are correct, the title ""Can social cohesion be measured by survey questions?"" differs from the found article ""Can social cohesion be harnessed to repair market failures? Evidence from group lending in Guatemala,"" which was published in a different journal.

### Details
A matching record was found for an article by Wydick in 1999 titled ""Can social cohesion be harnessed to repair market failures? Evidence from group lending in Guatemala"" published in The Economic Journal. However, this title and journal contradict the citation's stated title and publication in Economic Development and Cultural Change. No identifier was present to resolve this discrepancy, and no record matching the cited title was found in the searches conducted.

- https://academic.oup.com/ej/article-abstract/109/457/463/5128735",0.0,1.0
"Khandker, S. R. (2005). Microfinance and poverty: An empirical analysis. World Bank Policy Research Working Paper 3567.",Microfinance loan repayment,llama_4_scout_109b_a17b,verified-with-error,"Khandker, S. R. (2005). Microfinance and poverty: Evidence using panel data from Bangladesh. *The World Bank Economic Review*, 19(2), 263-286. https://ideas.repec.org/a/oup/wbecrv/v19y2005i2p263-286.html",CONTAINS,MATCH,MATCH,CONTAINS,ABSENT,Microfinance and Poverty: Evidence Using Panel Data From Bangladesh,Khandker,2005.0,The World Bank Economic Review,,https://ideas.repec.org/a/oup/wbecrv/v19y2005i2p263-286.html,GOOGLE,2.0,0.0,2.0,1.0,0.0,Microfinance and poverty: An empirical analysis,Microfinance and Poverty: Evidence Using Panel Data From Bangladesh,"Khandker, S. R.",Khandker,2005.0,2005.0,World Bank,The World Bank Economic Review,,https://ideas.repec.org/a/oup/wbecrv/v19y2005i2p263-286.html,2,2,2,GOOGLE,0,"◐ Title | ✓ Authors | ✓ Year | ◐ Venue | ○ ID

### Summary
This reference was confirmed as a work by S. R. Khandker from 2005 related to microfinance and poverty. While the original citation is a World Bank Policy Research Working Paper, the verified document appears as a journal article titled ""Microfinance and Poverty: Evidence Using Panel Data From Bangladesh"" published in The World Bank Economic Review.

### Details
A matching record was found for the author S. R. Khandker and year 2005, confirming the core topic about microfinance and poverty. The title matches well, although the verified source includes a more detailed subtitle mentioning panel data from Bangladesh. The venue differs slightly in that the original cited a working paper, while the verified source is from The World Bank Economic Review journal, which is closely linked to the World Bank institution, justifying the venue difference. There was no identifier such as a DOI present in the original citation. The verified article can be accessed at:

- [The World Bank Economic Review](https://ideas.repec.org/a/oup/wbecrv/v19y2005i2p263-286.html)",0.733,0.267
"Chakravarty, S. P., & Tiwari, A. K. (2015). Determinants of loan repayment in microfinance: A case study of a national microfinance programme in India. International Journal of Social Economics, 42(5), 436-450.",Microfinance loan repayment,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,CONTAINS,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,Determinants Of Loan Repayment Of Microfinance,,,,,https://climber.uml.edu.ni/fetch.php/Resources/4030136/DeterminantsOfLoanRepaymentOfMicrofinance.pdf,GOOGLE,0.0,0.0,1.0,1.0,3.0,Determinants of loan repayment in microfinance: A case study of a national microfinance programme in India.,Determinants Of Loan Repayment Of Microfinance,"Chakravarty, S. P.; Tiwari, A. K.",,2015.0,,International Journal of Social Economics,,,https://climber.uml.edu.ni/fetch.php/Resources/4030136/DeterminantsOfLoanRepaymentOfMicrofinance.pdf,0,3,3,GOOGLE,0,"◐ Title | ? Authors | ? Year | ? Venue | ○ ID

### Summary
The reference could not be fully verified as no exact match was found with the specified authors, year, and journal. Although the core title phrase ""Determinants of loan repayment in microfinance"" appeared in a related document, key details such as the authors Chakravarty and Tiwari and the year 2015 were not confirmed.

### Details
A closely related document with the title ""Determinants Of Loan Repayment Of Microfinance"" was found, but it lacked author, year, and journal information matching the original citation. Searches in OpenAlex and Google did not present any exact matches for the article by Chakravarty, S. P. and Tiwari, A. K. published in 2015 in the International Journal of Social Economics. Hence, the verification algorithm found no consistent candidates to confirm the citation details.

- https://climber.uml.edu.ni/fetch.php/Resources/4030136/DeterminantsOfLoanRepaymentOfMicrofinance.pdf
- https://www.emerald.com/",0.167,0.833
"Hermes, N., & Lensink, R. (2005). Does microfinance affect household income and poverty? Evidence from a cross-country study. Journal of Development Studies, 41(5), 747-765.",Microfinance loan repayment,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,CONTRADICTION,MATCH,CONTRADICTION,CONTRADICTION,ABSENT,The empirics of microfinance: what do we know?,Hermes; Lensink,2007.0,The Economic Journal,,https://academic.oup.com/ej/article-abstract/117/517/F1/5089385,GOOGLE,1.0,3.0,0.0,1.0,0.0,Does microfinance affect household income and poverty? Evidence from a cross-country study.,The empirics of microfinance: what do we know?,"Hermes, N.; Lensink, R.",Hermes; Lensink,2005.0,2007.0,Journal of Development Studies,The Economic Journal,,https://academic.oup.com/ej/article-abstract/117/517/F1/5089385,0,0,2,GOOGLE,1,"✗ Title | ✓ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
The reference could not be verified because no publication matching the given title, year, and journal was found. Although the authors Hermes and Lensink match, key details such as the article title, publication year, and journal do not correspond with any known records.

### Details
A search failed to find the article titled ""Does microfinance affect household income and poverty? Evidence from a cross-country study"" published in 2005 in the Journal of Development Studies. Instead, a related article by Hermes and Lensink titled ""The empirics of microfinance: what do we know?"" was found, published in 2007 in The Economic Journal. These differences in title, year, and journal indicate that the original reference does not match any confirmed database record.

- https://academic.oup.com/ej/article-abstract/117/517/F1/5089385
- https://www.researchgate.net
- https://ideas.repec.org",0.0,1.0
"Lont, A., & Mosley, P. (2014). Impacts of microfinance: A critical review of the evidence. The European Journal of Development Research, 26(5), 589-604.",Microfinance loan repayment,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,CONTAINS,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,ABSENT,Impact of Microfinance: A Critical Survey,Hermes; Lensink,,,,https://www.semanticscholar.org/paper/Impact-of-microfinance%3A-a-critical-survey-Hermes-Lensink/910861a01912ea47369eff0c794f9e4f946a689f,GOOGLE,0.0,1.0,1.0,1.0,2.0,Impacts of microfinance: A critical review of the evidence,Impact of Microfinance: A Critical Survey,"Lont, A.; Mosley, P.",Hermes; Lensink,2014.0,,The European Journal of Development Research,,,https://www.semanticscholar.org/paper/Impact-of-microfinance%3A-a-critical-survey-Hermes-Lensink/910861a01912ea47369eff0c794f9e4f946a689f,0,0,1,GOOGLE,0,"◐ Title | ✗ Authors | ? Year | ? Venue | ○ ID

### Summary
No matching article by Lont and Mosley titled ""Impacts of microfinance: A critical review of the evidence"" from 2014 in The European Journal of Development Research was found. The authors identified in search results were different, indicating the citation does not correspond to any confirmed record.

### Details
A search for the article with the given title, authors (Lont and Mosley), and year 2014 yielded no matching records in OpenAlex or other scholarly databases. While the title phrase was similar to one found—""Impact of Microfinance: A Critical Survey"" by Hermes and Lensink—the authors differed completely, showing no overlap. The year and journal details could not be confirmed due to absence in potential matches. No DOI or other identifiers were found to support verification.

- [Semantic Scholar: Impact of Microfinance: A Critical Survey](https://www.semanticscholar.org/paper/Impact-of-microfinance%3A-a-critical-survey-Hermes-Lensink/910861a01912ea47369eff0c794f9e4f946a689f)
- [OpenAlex search results](https://openalex.org/search?q=Impacts+of+microfinance%3A+A+critical+review+of+the+evidence+Lont+Mosley+2014)",0.0,1.0
"Asdrubali, F., Cumo, F., & Polonara, M. (2015). Analysis of the energy performance and greenhouse gases emissions of rural mini-grids: A case study in Africa. Energy Policy, 85, 145-157.",Mini-grid electrification,llama_4_scout_109b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Asdrubali, F., Cumo, F., and Polonara, M. (2015) titled ""Analysis of the energy performance and greenhouse gases emissions of rural mini-grids: A case study in Africa."" None of the key fields such as title, authors, year, or journal were confirmed.

### Details
A search through OpenAlex did not find any matching record for this article. Google Scholar and general Google searches using the full citation and relevant keywords also returned no direct matches for the article in question. Although Google search returned some documents related to mini-grids in Africa, none matched the exact title, authors, or publication details. Therefore, there is no evidence to confirm the existence of this publication as cited.

- https://openalex.org
- https://scholar.google.com
- https://www.google.com/search",0.0,1.0
