reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Oduro, A. W. (2015). *Biometric voter registration and electoral governance in Kenya* (Doctoral dissertation). University of Nairobi.",Biometric voter registration,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Kramon, E., & Poznyak, D. (2014). The impact of biometric voter registration on electoral integrity: Evidence from Kenya’s 2013 general election. *Electoral Studies*, *35*, 76–88. https://doi.org/10.1016/j.electstud.2014.03.003",Biometric voter registration,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"Brons, D. C. (2017). Voter registration modernization: A comparative study of biometric systems in developing countries. *Journal of Development Studies*, *53*(12), 1993–2008. https://doi.org/10.1080/00220388.2017.1322925",Biometric voter registration,minimax_m25_230b_a10b,unverified,,CONTAINS,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.875
"Oppong, A. A., & Mensah, L. (2016). Assessing the reliability of biometric voter registration in Ghana: The 2012 elections. *African Affairs*, *115*(459), 123–145. https://doi.org/10.1093/afraf/adw001",Biometric voter registration,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100,0.900
"International IDEA. (2015). *Biometric voter registration: Technology, implementation and challenges* (Tech. Rep. No. 7). International Institute for Democracy and Electoral Assistance.",Biometric voter registration,minimax_m25_230b_a10b,unverified,,CONTRADICTION,MATCH,UNCONFIRMED,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133,0.867
IFES. (2014). *Biometric voter registration in Kenya: Lessons learned* (Tech. Rep.). International Foundation for Electoral Systems.,Biometric voter registration,minimax_m25_230b_a10b,needs-human,,CONTRADICTION,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.667
"Orangi, J. O. (2019). The politics of biometric voter registration in Kenya. *Journal of African Elections*, *18*(1), 45–66. https://doi.org/10.2094/JAE/2019.018",Biometric voter registration,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Rw, S. K., & Nsubuga, H. (2020). Biometric voter registration and voter confidence: Evidence from Uganda. *International Journal of Public Administration*, *43*(8), 704–718. https://doi.org/10.1080/01900692.2019.1666500",Biometric voter registration,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Vasquez, L., & Kambal, K. (2018). Security and privacy challenges in biometric voter registration systems. In *Proceedings of the 2018 International Conference on e‑Governance* (pp. 112–119). IEEE. https://doi.org/10.1109/ICEG.2018.00023",Biometric voter registration,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Mwakanyamale, A. (2021). An evaluation of biometric voter registration system in Tanzania: The 2020 elections. *Journal of Elections, Public Opinion and Parties*, *31*(2), 173–190. https://doi.org/10.1080/17457289.2021.1894426",Biometric voter registration,minimax_m25_230b_a10b,unverified,,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
Intergovernmental Panel on Climate Change. (2021). Climate Change 2021: The Physical Science Basis. Cambridge University Press.,Climate change,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,CONTAINS,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.900,0.100
"Hansen, J., Nazarenko, L., Ruedy, R., Sato, M., Willis, J., Del Genio, A., … Yao, M. S. (2005). Earth’s energy imbalance: Confirmation and implications. Science, 308(5727), 1431–1435.",Climate change,minimax_m25_230b_a10b,verified,,MATCH,CONTAINS,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867,0.133
"Oreskes, N. (2004). The scientific consensus on climate change. Science, 306(5702), 1686.",Climate change,minimax_m25_230b_a10b,verified,,MATCH,UNCONFIRMED,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,0.267
"Root, T. L., Price, J. T., Hall, K. R., Schneider, S. H., Rosenzweig, C., & Pounds, J. A. (2003). Fingerprints of global warming on wild animals and plants. Nature, 421(6920), 57–60.",Climate change,minimax_m25_230b_a10b,verified,,MATCH,MATCH,MATCH,MATCH,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000,0.000
"Stott, P. A., Jones, G. S., & Lowe, J. A. (2010). Attributing climate change to human activities. In J. H. Sheffield & M. R. Manning (Eds.), Climate Change 2010: The Physical Science Basis (pp. 507–514). Cambridge University Press.",Climate change,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTRADICTION,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Mann, M. E., Zhang, Z., Rutherford, S., Bradley, R. S., Hughes, M. K., Shindell, D., … Faluvegi, G. (2008). Proxy‑based reconstructions of hemispheric and global surface temperature anomalies. Science, 319(5863), 1321–1325.",Climate change,minimax_m25_230b_a10b,needs-human,,CONTAINS,UNCONFIRMED,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.833
"Running, S. W. (2012). A measurable planet: Observations for climate. Nature Climate Change, 2(4), 239–240.",Climate change,minimax_m25_230b_a10b,unverified,,CONTRADICTION,CONTAINS,CONTAINS,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,1.000
"Solomon, S., Qin, D., Manning, M., Chen, Z., Marquis, M., Averyt, K. B., … Miller, H. L. (Eds.). (2007). Climate Change 2007: The Physical Science Basis. Cambridge University Press.",Climate change,minimax_m25_230b_a10b,verified-with-error,,MATCH,CONTAINS,MATCH,CONTRADICTION,ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.533
