reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Albayrak, A., & Yildirim, M. (2018). Biometric voter registration: A case study of Turkey. *International Journal of Information Security and Privacy, 12*(2), 1-15.",Biometric voter registration,mistral_small_32_24b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference titled ""Biometric voter registration: A case study of Turkey"" by Albayrak and Yildirim from 2018 in the International Journal of Information Security and Privacy.

### Details
A search in OpenAlex returned no matches, and a detailed web search did not reveal any relevant articles matching this reference. Additionally, a scholar search did not find any corresponding records in recognized academic sources. The year, authors, title, and journal were all unconfirmed due to the absence of matching records.

- [OpenAlex](https://openalex.org)
- [Google Search](https://www.google.com)
- [Scholar Search](https://scholar.google.com)",0.0,1.0
"Schroeder, J., & Da Silva, L. (2012). Mini-grid electrification in sub-Saharan Africa: A review of technical, economic, and policy issues. *Energy Policy, 49*, 10-20.",Mini-grid electrification,mistral_small_32_24b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference provided by Schroeder and Da Silva from 2012 on mini-grid electrification in sub-Saharan Africa. Despite searches in academic databases and scholar queries, no record confirming the title, authors, year, or journal Energy Policy was identified.

### Details
A search in OpenAlex using the title, author names, and year found no matching work. Additional scholar searches yielded related papers discussing similar topics and region but none precisely matched the cited article. The key metadata elements — title, authors, publication year, and journal — could not be confirmed by any available sources.

- https://openalex.org
- https://scholar.google.com",0.0,1.0
World Bank. (2013). *Mini-grid policy toolkit: A guide for policy makers*. The World Bank Group.,Mini-grid electrification,mistral_small_32_24b,unverified,Reference could not be verified.,CONTRADICTION,MATCH,UNCONFIRMED,CONTAINS,ABSENT,Mini Grids for Half a Billion People: Market Outlook and Handbook for Decision-Makers (Executive Summary),World Bank,,World Bank / ESMAP,,https://documents.worldbank.org/curated/en/300241561040821658/text/Mini-Grids-for-Half-a-Billion-People-Market-Outlook-and-Handbook-for-Decision-Makers-Executive-Summary.txt,GOOGLE,1.0,1.0,1.0,1.0,1.0,Mini-grid policy toolkit: A guide for policy makers,Mini Grids for Half a Billion People: Market Outlook and Handbook for Decision-Makers (Executive Summary),World Bank,World Bank,2013.0,,The World Bank Group,World Bank / ESMAP,,https://documents.worldbank.org/curated/en/300241561040821658/text/Mini-Grids-for-Half-a-Billion-People-Market-Outlook-and-Handbook-for-Decision-Makers-Executive-Summary.txt,0.0,0.0,2.0,GOOGLE,0.0,"✗ Title | ✓ Authors | ? Year | ◐ Venue | ○ ID

### Summary
The reference to ""Mini-grid policy toolkit: A guide for policy makers"" by the World Bank could not be confirmed. Although the author matches exactly, the title does not correspond with any found document, indicating it is likely a different publication than those discovered.

### Details
A matching record was not found in OpenAlex, and web searches revealed documents with different titles under the World Bank or its divisions. Notably, a similarly themed document titled ""Mini Grids for Half a Billion People: Market Outlook and Handbook for Decision-Makers (Executive Summary)"" was found but differs in title and scope from the cited reference. The year 2013 could not be verified specifically, and the venue information overlaps only partially as the World Bank Group is a broader publisher umbrella compared to specific divisions like ESMAP associated with found documents.

- https://documents.worldbank.org/curated/en/300241561040821658/text/Mini-Grids-for-Half-a-Billion-People-Market-Outlook-and-Handbook-for-Decision-Makers-Executive-Summary.txt
- https://collaboration.worldbank.org/content/sites/collaboration-for-development/en/groups/energyaccess/documents.entry.html/2014/10/09/euei_pdf_mini-gridp-MEAb.html
- https://openknowledge.worldbank.org/",0.033,0.967
"Chaurey, A., & Kaushik, S. C. (2011). Decentralized renewable energy systems for rural electrification: A review of barriers and success factors. *Renewable and Sustainable Energy Reviews, 15*(9), 4374-4385.",Mini-grid electrification,mistral_small_32_24b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,MATCH,ABSENT,Rural electricity access in South Asia: Is grid extension the remedy? A critical review,D Palit; KR Bandyopadhyay,2016.0,Renewable and Sustainable Energy Reviews,,https://www.sciencedirect.com/science/article/pii/S1364032116002690,GOOGLE,1.0,3.0,0.0,1.0,0.0,Decentralized renewable energy systems for rural electrification: A review of barriers and success factors.,Rural electricity access in South Asia: Is grid extension the remedy? A critical review,"Chaurey, A.; Kaushik, S. C.",D Palit; KR Bandyopadhyay,2011.0,2016.0,Renewable and Sustainable Energy Reviews,Renewable and Sustainable Energy Reviews,,https://www.sciencedirect.com/science/article/pii/S1364032116002690,0.0,0.0,2.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ✗ Year | ✓ Venue | ○ ID

### Summary
The reference could not be verified. The searched sources did not confirm the specific article by Chaurey and Kaushik from 2011 with the given title and authors.

### Details
A matching record for the cited article was not found. The best candidate found had a different title, different authors (Palit and Bandyopadhyay), and a different year (2016), although it appeared in the same journal, Renewable and Sustainable Energy Reviews. The discrepancies in title, authors, and publication year confirm that the original reference does not match any verified record in the data sources consulted.

- https://www.sciencedirect.com/science/article/pii/S1364032116002690",0.0,1.0
"Bhattacharyya, S. C., & Palit, D. (2016). Mini-grid electrification in Bangladesh: A review of policies, business models, and challenges. *Energy Policy, 94*, 320-330.",Mini-grid electrification,mistral_small_32_24b,needs-human,Reference requires human review.,CONTRADICTION,MATCH,MATCH,MATCH,ABSENT,Mini-grid based off-grid electrification to enhance electricity access in developing countries: What policies may be required?,S C Bhattacharyya; D Palit,2016.0,Energy Policy,,https://www.sciencedirect.com/science/article/pii/S0301421516301781,GOOGLE,3.0,1.0,0.0,1.0,0.0,"Mini-grid electrification in Bangladesh: A review of policies, business models, and challenges.",Mini-grid based off-grid electrification to enhance electricity access in developing countries: What policies may be required?,"Bhattacharyya, S. C.; Palit, D.",S C Bhattacharyya; D Palit,2016.0,2016.0,Energy Policy,Energy Policy,,https://www.sciencedirect.com/science/article/pii/S0301421516301781,0.0,0.0,2.0,GOOGLE,0.0,"✗ Title | ✓ Authors | ✓ Year | ✓ Venue | ○ ID

### Summary
The reference could not be clearly verified because the title does not match the found article, despite the same authors, year, and journal. The confirmed article has a more general focus on mini-grid electrification policies for developing countries, while the citation title refers specifically to Bangladesh.

### Details
A matching article by the same authors, Bhattacharyya and Palit, published in 2016 in Energy Policy was found. However, the title in the confirmed record is ""Mini-grid based off-grid electrification to enhance electricity access in developing countries: What policies may be required?"" rather than the cited title focused on Bangladesh. No DOI was found in the citation for further validation, and the different scope suggests these might be separate papers. 

- https://www.sciencedirect.com/science/article/pii/S0301421516301781",0.333,0.667
"Palit, D., & Chaurey, A. (2012). Mini-grid electrification in India: A review of technical, economic, and policy issues. *Energy for Sustainable Development, 16*(3), 301-312.",Mini-grid electrification,mistral_small_32_24b,unverified,Reference could not be verified.,CONTRADICTION,MATCH,UNCONFIRMED,UNCONFIRMED,ABSENT,Off-grid rural electrification experiences from South Asia,D. Palit; A. Chaurey,,,,https://www.dmu.ac.uk/documents/technology-documents/research-faculties/oasys/project-outputs/peer-reviewed-journal-articles/pj1--palit-chaurey-paper.pdf,GOOGLE,1.0,1.0,0.0,1.0,2.0,"Mini-grid electrification in India: A review of technical, economic, and policy issues",Off-grid rural electrification experiences from South Asia,"Palit, D.; Chaurey, A.",D. Palit; A. Chaurey,2012.0,,Energy for Sustainable Development,,,https://www.dmu.ac.uk/documents/technology-documents/research-faculties/oasys/project-outputs/peer-reviewed-journal-articles/pj1--palit-chaurey-paper.pdf,0.0,0.0,2.0,GOOGLE,0.0,"✗ Title | ✓ Authors | ? Year | ? Venue | ○ ID

### Summary
The reference could not be confirmed as the exact article cited. While the authors Palit and Chaurey match, the title found focuses on off-grid rural electrification experiences in South Asia rather than mini-grid electrification specifically in India. There was no clear match for the year or journal.

### Details
A matching record was not found in major academic databases like OpenAlex for the 2012 article titled ""Mini-grid electrification in India: A review of technical, economic, and policy issues."" The closest potential match shares the same authors, D. Palit and A. Chaurey, but the article title differs significantly, discussing broader off-grid rural electrification in South Asia. The year and journal details could not be confirmed due to insufficient information. 

- https://www.dmu.ac.uk/documents/technology-documents/research-faculties/oasys/project-outputs/peer-reviewed-journal-articles/pj1--palit-chaurey-paper.pdf
- https://www.researchgate.net/publication/301360243_Mini-grid_based_off-grid_electrification_to_enhance_electricity_access_in_developing_countries_What_policies_may_be_required",0.0,1.0
"Arora, R., & Srivastava, S. (2011). Mobile banking: A review of literature and framework proposal. *International Journal of Computer Applications, 16*(3), 1-6.",Mobile banking,mistral_small_32_24b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Mobile banking: A review of literature and framework proposal"" by Arora and Srivastava from 2011 could be found in available databases. The authors, journal, year, and article title could not be confirmed.

### Details
Searches through the OpenAlex database and scholarly search engines did not locate any record matching the provided title, authors, or year. The closest results were articles on mobile banking and related topics by authors with similar names but in different years and journals. No DOI or exact bibliographic data were found linking to the original reference.

- [OpenAlex](https://openalex.org)
- [Scholar Search results](https://scholar.google.com)",0.0,1.0
"Donner, J., & Tellez, A. (2008). *M-PESA: Mobile money in Kenya*. MIT Press.",Mobile banking,mistral_small_32_24b,unverified,Reference could not be verified.,CONTAINS,CONTRADICTION,CONTAINS,CONTRADICTION,ABSENT,M-PESA: Mobile Money for the “Unbanked” Turning Cellphones into 24-Hour Tellers in Kenya,Nick Hughes; Susie Lonie,2007.0,Innovations Technology Governance Globalization,10.1162/itgg.2007.2.1-2.63,https://doi.org/10.1162/itgg.2007.2.1-2.63,GOOGLE,0.0,2.0,2.0,1.0,0.0,M-PESA: Mobile money in Kenya,M-PESA: Mobile Money for the “Unbanked” Turning Cellphones into 24-Hour Tellers in Kenya,"Donner, J.; Tellez, A.",Nick Hughes; Susie Lonie,2008.0,2007.0,MIT Press,Innovations Technology Governance Globalization,,10.1162/itgg.2007.2.1-2.63,0.0,0.0,1.0,GOOGLE,0.0,"◐ Title | ✗ Authors | ◐ Year | ✗ Venue | ○ ID

### Summary
No matching publication was found for the reference attributed to Donner and Tellez in 2008 published by MIT Press titled ""M-PESA: Mobile money in Kenya."" The closest candidate identified has different authors and was published in a different year and venue.

### Details
A matching record was found with the title ""M-PESA: Mobile Money for the 'Unbanked' Turning Cellphones into 24-Hour Tellers in Kenya,"" but it was authored by Nick Hughes and Susie Lonie, not Donner and Tellez. This candidate was published in 2007 in the journal ""Innovations Technology Governance Globalization,"" which differs from the cited MIT Press publisher. The citation’s year (2008) and the candidate’s year (2007) are close but not identical. No direct identifier such as a DOI was present in the original reference to help confirm a match. Search results did not locate a publication by Donner and Tellez matching the given title and publisher.

- https://doi.org/10.1162/itgg.2007.2.1-2.63
- https://ideas.repec.org/a/tpr/inntgg/v2y2007i1-2p63-81.html
- https://www.researchgate.net/publication/232947275_Mobile_banking_and_economic_development_Linking_adoption_impact_and_use",0.0,1.0
"Gomber, P., Krämer, J., & Schiereck, D. (2016). Mobile banking and financial inclusion: Evidence from sub-Saharan Africa. *Journal of Financial Services Research, 50*(3), 245-272.",Mobile banking,mistral_small_32_24b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Mobile banking and financial inclusion: Evidence from sub-Saharan Africa"" by authors Gomber, Krämer, and Schiereck from 2016 could be found in any academic database or search engine. The details regarding journal, volume, and pages also could not be confirmed.

### Details
A search was performed using OpenAlex with the exact title and author names but no matching record was discovered. Google search for the full citation likewise returned no results. Additionally, a search on scholar databases did not find any relevant article matching the given reference. There was no DOI or other identifier detected that might help confirm the record.

- [OpenAlex](https://openalex.org)
- Google Search
- Scholar Search",0.0,1.0
"Gu, Q., Lee, J., & Suh, J. (2012). Factors influencing the adoption of mobile banking: An integration of TAM and TPB with perceived risk and perceived benefit. *Electronic Commerce Research and Applications, 11*(3), 287-295.",Mobile banking,mistral_small_32_24b,needs-human,Reference requires human review.,CONTAINS,CONTRADICTION,CONTAINS,CONTAINS,ABSENT,Mobile banking adoption: an examination of technology acceptance model and theory of planned behavior,MG Aboelmaged; TR Gebba,2013.0,Journal of Business Research,,https://scholar.archive.org/work/7lxbjdtwnbbgrapbwrkte736k4/access/wayback/https://www.sciencetarget.com/Journal/index.php/IJBRD/article/download/263/60,GOOGLE,0.0,1.0,3.0,1.0,0.0,Factors influencing the adoption of mobile banking: An integration of TAM and TPB with perceived risk and perceived benefit.,Mobile banking adoption: an examination of technology acceptance model and theory of planned behavior,"Gu, Q.; Lee, J.; Suh, J.",MG Aboelmaged; TR Gebba,2012.0,2013.0,Electronic Commerce Research and Applications,Journal of Business Research,,https://scholar.archive.org/work/7lxbjdtwnbbgrapbwrkte736k4/access/wayback/https://www.sciencetarget.com/Journal/index.php/IJBRD/article/download/263/60,0.0,0.0,3.0,GOOGLE,0.0,"◐ Title | ✗ Authors | ◐ Year | ◐ Venue | ○ ID

### Summary
The verification of this article requires human review because the information found shows significant differences between the cited reference and a potential match. The title and year are similar, suggesting the topics relate closely, but the authors and journals do not match.

### Details
A matching record was found that discusses mobile banking adoption with the technology acceptance model and theory of planned behavior, which is closely related to the cited title. However, the authors of the found article are MG Aboelmaged and TR Gebba, while the cited authors are Gu, Lee, and Suh. Additionally, the cited year is 2012, whereas the matched article is from 2013. The cited journal is *Electronic Commerce Research and Applications*, while the matched article appeared in the *Journal of Business Research*. These discrepancies indicate the two may be different articles covering similar topics, so human judgment is needed to confirm the citation.

- https://scholar.archive.org/work/7lxbjdtwnbbgrapbwrkte736k4/access/wayback/https://www.sciencetarget.com/Journal/index.php/IJBRD/article/download/263/60",0.1,0.9
