reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Adepoju, J. (2012). Analysis of the use of biometric technology in the 2011 Nigerian elections. *Journal of Emerging Trends in Computing and Information Sciences*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Adepoju, J. (2012) on the use of biometric technology in the 2011 Nigerian elections. The search did not confirm the title, authors, year, or journal details.

### Details
A search in OpenAlex returned no matching records for this work. Additional web searches found related articles on biometric technology in Nigerian elections but none matching the exact title, author, or year provided. The year 2012 and the journal ""Journal of Emerging Trends in Computing and Information Sciences"" could not be confirmed from available sources.

- https://ray.yorksj.ac.uk/id/eprint/12078/
- https://www.researchgate.net/publication/222959857_Empirical_analysis_of_biometric_technology_adoption_and_acceptance_in_Botswana
- https://upjournals.up.ac.za/index.php/strategic_review/article/download/80/626/2806
- https://www.semanticscholar.org/paper/The-Use-of-Biometric-Technology-in-the-Success-of-Fatai-Adisa/6f620672394ef57b41bdfa4d00f04a5c7b82982e",0.0,1.0
"Gyamfi, E. (2012). Biometric voter registration: The Ghanaian experience. *African Journal of Political Science and International Relations*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Biometric voter registration: The Ghanaian experience"" by Gyamfi, E. from 2012 could be found in the African Journal of Political Science and International Relations or other sources.

### Details
A search was conducted in OpenAlex and through Google, but no records or references matching the author, title, year, or journal were found. There was no evidence to confirm any part of the citation.

- [OpenAlex](https://openalex.org)
- [Google Search](https://www.google.com)",0.0,1.0
International IDEA. (2016). *Biometric voter registration: An International IDEA handbook*. International Institute for Democracy and Electoral Assistance.,Biometric voter registration,qwen35_397b_a17b,needs-human,"Wolf, P., Alim, A., Kasaro, B., Namugera, P., Saneem, M., & Zorigt, T. (2017). *Introducing biometric technology in elections*. International Institute for Democracy and Electoral Assistance (International IDEA). https://play.google.com/store/books/details?id=5FrXDwAAQBAJ&source=gbs_api",CONTRADICTION,CONTAINS,CONTAINS,MATCH,ABSENT,Introducing Biometric Technology in Elections,Peter Wolf; Abdul Alim; Brown Kasaro; Pontius Namugera; Mohammed Saneem; Tamir Zorigt,2017.0,International Institute for Democracy and Electoral Assistance (International IDEA),,https://play.google.com/store/books/details?id=5FrXDwAAQBAJ&source=gbs_api,GOOGLE,1.0,1.0,2.0,1.0,0.0,Biometric voter registration: An International IDEA handbook,Introducing Biometric Technology in Elections,International IDEA,Peter Wolf; Abdul Alim; Brown Kasaro; Pontius Namugera; Mohammed Saneem; Tamir Zorigt,2016.0,2017.0,International Institute for Democracy and Electoral Assistance,International Institute for Democracy and Electoral Assistance (International IDEA),,https://play.google.com/store/books/details?id=5FrXDwAAQBAJ&source=gbs_api,0.0,0.0,1.0,GOOGLE,0.0,"✗ Title | ◐ Authors | ◐ Year | ✓ Venue | ○ ID

### Summary
The reference could not be fully verified because the title in the citation does not match the title found in the best available source. While the organization (International IDEA) and the publication year (2016 vs. 2017) are close, the titles describe different documents. This discrepancy means human review is needed to confirm the correct reference.

### Details
A matching record was found for a publication by the International Institute for Democracy and Electoral Assistance (International IDEA) titled ""Introducing Biometric Technology in Elections"" published in 2017. This differs from the cited title ""Biometric voter registration: An International IDEA handbook"" from 2016. The authors listed in the found record are different individuals, whereas the citation lists the organization as author. The venue matches as the same organization. No identifier such as a DOI was found in the citation to aid verification.

- https://play.google.com/store/books/details?id=5FrXDwAAQBAJ&source=gbs_api
- https://books.google.com/books?hl=en&lr=&id=5FrXDwAAQBAJ&oi=fnd&pg=PA4&dq=Biometric+voter+registration+International+IDEA+2016&ots=xUZPGh4sCC&sig=FD7Jo3-sfR4spAEKIttutD3DsiM",0.1,0.9
"Kumar, M., & Vaish, A. (2018). Security and privacy issues in biometric based voting systems. *IEEE Access*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,1.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Security and privacy issues in biometric based voting systems"" by Kumar and Vaish from 2018 in IEEE Access or any other source could be found. The reference could not be verified.

### Details
A search in OpenAlex and Google did not return any records matching the title, authors, year, or journal. There were no potential matches found in the databases checked, and no identifier or other metadata was confirmed.

- [OpenAlex](https://openalex.org)
- [Google Search](https://www.google.com)",0.0,1.0
"Mwalongo, F. (2015). Biometric voter registration in Tanzania: Challenges and prospects. *Journal of African Elections*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Biometric voter registration in Tanzania: Challenges and prospects"" by F. Mwalongo from 2015 could be found in the searched databases or sources.

### Details
A search was conducted in OpenAlex and Google Scholar for the article and author details, but no records matched the title, author, year, or journal. Related articles on biometric voter registration in Tanzania and Africa were found, but none matched the exact reference provided. The year 2015 and the journal ""Journal of African Elections"" did not appear in any matching records.

- https://www.diva-portal.org/smash/record.jsf?pid=diva2:1972227
- https://brill.com/view/journals/tare/aop/article-10.1163-1821889x-bja10140/article-10.1163-1821889x-bja10140.xml
- https://www.tandfonline.com/doi/abs/10.1080/13600834.2017.1321097
- https://www.eisa.org/storage/2023/05/edited-volume-2010-voter-registration-comparative-analysis-south-africa-eisa-publication.pdf",0.0,1.0
"Nwankwo, C. O. (2014). Biometric voter registration and electoral integrity in Nigeria. *Journal of Public Administration and Policy Research*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Biometric voter registration and electoral integrity in Nigeria"" by Nwankwo, C. O. from 2014 could be found in the searched databases or online sources. The verification process did not find any record confirming the authorship, title, year, or journal for this reference.

### Details
A search in OpenAlex returned no matching work. Google Scholar and general web searches also did not find any article matching the exact title, author, and year. Several related articles on biometric voter registration and electoral integrity in Nigeria were found, but none matched the 2014 publication by Nwankwo. The year 2014 and the journal ""Journal of Public Administration and Policy Research"" were not confirmed by any source.

- https://openalex.org
- https://scholar.google.com
- https://www.google.com/search",0.0,1.0
"Okoye, M. O., & Eze, U. A. (2013). The impact of biometric technology on election management in Nigeria. *International Journal of Scientific and Research Publications*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""The impact of biometric technology on election management in Nigeria"" by Okoye, M. O., & Eze, U. A. from 2013 could be found in the searched databases or online sources.

### Details
A search was conducted across OpenAlex, Google, and Google Scholar databases, but no record matching the title, authors, year, or journal was identified. Several related articles on biometric technology and election management in Nigeria were found, but none matched the exact reference details provided. The year 2013 and the authors Okoye and Eze did not appear in any verified records.

- https://openalex.org
- https://scholar.google.com
- https://www.google.com/search",0.0,1.0
"Oluwagbemi, O. O., & Kolo, I. (2014). Design and implementation of a biometric voter registration system. *International Journal of Computer Applications*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Design and implementation of a biometric voter registration system"" by Oluwagbemi and Kolo from 2014 could be found in the International Journal of Computer Applications or other sources.

### Details
A search in OpenAlex did not find any record matching the title, authors, year, or journal. Additionally, a scholar search returned unrelated articles on electronic elections but none matching the given reference. There were no potential matches to verify the reference.

- [OpenAlex](https://openalex.org)
- [Scholar Search Results]",0.0,1.0
"Alabi, O. (2015). Effectiveness of biometric voter registration in curbing electoral fraud in Nigeria. *European Journal of Social Sciences*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Effectiveness of biometric voter registration in curbing electoral fraud in Nigeria"" by Alabi, O. from 2015 could be found in the searched databases or sources.

### Details
A search was conducted in OpenAlex and through academic search engines, but no record matching the author, title, year, or journal was found. Several related articles on biometric voter registration and electoral fraud in Nigeria were found, but none matched the exact reference details provided. The year 2015 and the author Alabi, O. did not appear in the search results for this specific title.

- [OpenAlex](https://openalex.org)
- [Scholar Search Results](https://scholar.google.com)",0.0,1.0
"Umeanozoru, P. C. (2016). An assessment of biometric voter registration system in Nigeria. *International Journal of Innovative Research in Computer and Communication Engineering*.",Biometric voter registration,qwen35_397b_a17b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,1.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""An assessment of biometric voter registration system in Nigeria"" by P. C. Umeanozoru from 2016 could be found in the searched databases or sources. The reference could not be confirmed in the International Journal of Innovative Research in Computer and Communication Engineering or other relevant sources.

### Details
A search in OpenAlex returned no matching records for this article. Additionally, a scholar search did not find any article with the exact title, author, or year. Several related articles on biometric voter registration in Nigeria were found, but none matched the given reference details. The year 2016, author name, and journal title did not appear in any verified records.

- [OpenAlex](https://openalex.org)
- [Scholar Search Results](https://scholar.google.com)",0.0,1.0
