reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Smith, J., & Lee, K. (2018). Biometric voter registration: Enhancing security and accuracy in electoral processes. *Journal of Information Technology & Politics, 5*(3), 45–62. https://doi.org/10.1234/jitp.5.3.45",Biometric voter registration,qwen3_8b_nothink,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference provided. Neither the DOI nor title, authors, year, or journal details were confirmed by available databases and searches.

### Details
A search using the DOI 10.1234/jitp.5.3.45 did not return any results in OpenAlex, indicating no known record. The DOI site returned a 404 error, suggesting the DOI is invalid or not activated. Searches by title and author names in scholarly databases and search engines did not yield any matching publication titled ""Biometric voter registration: Enhancing security and accuracy in electoral processes"" by Smith and Lee in 2018 in the Journal of Information Technology & Politics. No close or similar matches were identified in recent related literature searches.

- https://doi.org/10.1234/jitp.5.3.45
- https://openalex.org/
- https://scholar.google.com",0.0,1.0
"Brown, T., & White, S. (2017). Climate change and public health: A global perspective. *International Journal of Environmental Research and Public Health, 14*(8), 987. https://doi.org/10.3390/ijerph14080987",Climate change,qwen3_8b_nothink,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,MATCH,UNCONFIRMED,Integrating public health into climate change policy and planning: state of practice update,M Fox; C Zuidema; B Bauman; T Burke,2019.0,International Journal of Environmental Research and Public Health,,https://www.mdpi.com/1660-4601/16/18/3232,GOOGLE,1.0,3.0,0.0,0.0,1.0,Climate change and public health: A global perspective.,Integrating public health into climate change policy and planning: state of practice update,"Brown, T.; White, S.",M Fox; C Zuidema; B Bauman; T Burke,2017.0,2019.0,International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health,10.3390/ijerph14080987,,0.0,0.0,2.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ✗ Year | ✓ Venue | ? DOI | ? URL

### Summary
No matching article could be found for the reference by Brown and White (2017) titled ""Climate change and public health: A global perspective."" Although the journal name matches, the title, authors, and publication year do not align with any verified record.

### Details
A search using the provided DOI did not locate any record, and the DOI link returned a 404 error indicating it does not exist in the DOI system. The cited title and authors (Brown, T. and White, S.) differ from the closest found article titled ""Integrating public health into climate change policy and planning: state of practice update"" by Fox et al., published in 2019 in the same journal. The year discrepancy and completely different author lists confirm this is not the same article. The journal, ""International Journal of Environmental Research and Public Health,"" matches exactly, but the other key fields contradict.

- https://doi.org/10.3390/ijerph14080987
- https://www.mdpi.com/1660-4601/16/18/3232
- https://scholar.google.com/scholar?q=Climate+change+and+public+health:+A+global+perspective+Brown+White+2017",0.0,1.0
"Lee, R., & Kim, J. (2022). Regional climate modeling and its applications. *Climate Dynamics, 58*(1-2), 345-362. https://doi.org/10.1007/s00382-021-05987-3",Climate change,qwen3_8b_nothink,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,Occurrence of heatwave in Korea by the displacement of South Asian high,Yumi Cha; Jae‐Won Choi; Eung‐Sup Kim; Joong‐Bae Ahn,2021.0,Climate Dynamics,10.1007/s00382-021-05987-3,https://doi.org/10.1007/s00382-021-05987-3,GOOGLE,2.0,2.0,1.0,0.0,0.0,Regional climate modeling and its applications.,Occurrence of heatwave in Korea by the displacement of South Asian high,"Lee, R.; Kim, J.",Yumi Cha; Jae‐Won Choi; Eung‐Sup Kim; Joong‐Bae Ahn,2022.0,2021.0,Climate Dynamics,Climate Dynamics,10.1007/s00382-021-05987-3,10.1007/s00382-021-05987-3,0.0,0.0,1.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ◐ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
This reference could not be conclusively verified because the title and authors did not match the found article, despite the journal and DOI being the same. The provided citation refers to a general topic on regional climate modeling by Lee and Kim published in 2022, while the article found via the DOI is a specific study on heatwaves in Korea by different authors published in 2021.

### Details
A matching record was found with the same DOI (10.1007/s00382-021-05987-3) and journal (Climate Dynamics), confirming the venue and identifier fields. However, the title of the found article is ""Occurrence of heatwave in Korea by the displacement of South Asian high,"" which differs significantly from the cited title. Additionally, the authors of the found article (Yumi Cha, Jae-Won Choi, Eung-Sup Kim, Joong-Bae Ahn) do not overlap with the cited authors (Lee, R. and Kim, J.). The years differ by one (2021 vs 2022), a minor discrepancy likely related to print vs online publication dates. Because these contradictions exist in key fields like title and authors, human review is advised to confirm the correct reference.

- https://doi.org/10.1007/s00382-021-05987-3
- https://link.springer.com/article/10.1007/s00382-021-05987-3",0.025,0.975
"Nguyen, P., & Tran, T. (2016). Climate change and biodiversity loss: An ecological analysis. *Ecological Indicators, 65*, 123-132. https://doi.org/10.1016/j.ecolind.2016.02.015",Climate change,qwen3_8b_nothink,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,Evaluation of phosphorus distribution and bioavailability in sediments of a subtropical wetland reserve in southeast China,Lu Ding; Peiyong Guo; Ji Jian-Feng; Liping Liu; Pan Yang,2016.0,Ecological Indicators,10.1016/j.ecolind.2016.02.015,https://doi.org/10.1016/j.ecolind.2016.02.015,GOOGLE,3.0,2.0,0.0,0.0,0.0,Climate change and biodiversity loss: An ecological analysis.,Evaluation of phosphorus distribution and bioavailability in sediments of a subtropical wetland reserve in southeast China,"Nguyen, P.; Tran, T.",Lu Ding; Peiyong Guo; Ji Jian-Feng; Liping Liu; Pan Yang,2016.0,2016.0,Ecological Indicators,Ecological Indicators,10.1016/j.ecolind.2016.02.015,10.1016/j.ecolind.2016.02.015,0.0,0.0,1.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ✓ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
The reference could not be confidently verified because the identified paper with the same DOI discusses a different topic and has different authors. Although the year and journal match, the title and author list do not correspond to those in the original citation.

### Details
A record with the DOI 10.1016/j.ecolind.2016.02.015 was found, but it points to an article titled ""Evaluation of phosphorus distribution and bioavailability in sediments of a subtropical wetland reserve in southeast China"" by authors Lu Ding and colleagues, differing significantly from the cited authors Nguyen, P. and Tran, T. The year 2016 and the journal Ecological Indicators match exactly, but the major differences in title and authors suggest the original citation's DOI might be incorrect or the reference is misattributed. Furthermore, a direct check of the DOI URL returned a security verification barrier, making it difficult to confirm via the source website. Additional manual verification is recommended.

- https://doi.org/10.1016/j.ecolind.2016.02.015",0.1,0.9
"Harris, D., & Walker, M. (2023). Climate change adaptation in coastal communities. *Coastal Management, 51*(2), 156-173. https://doi.org/10.1080/08920753.2023.2187654",Climate change,qwen3_8b_nothink,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference. The DOI and other details such as title, authors, year, and journal could not be confirmed.

### Details
A search for the DOI 10.1080/08920753.2023.2187654 returned an error indicating it was not found in the DOI system. Searches using the article title ""Climate change adaptation in coastal communities"" and the authors ""Harris, D., & Walker, M."" yielded no matching records in databases. The year 2023 and journal Coastal Management were also unconfirmed due to lack of evidence. Web searches returned related articles on the topic but none matching the reference exactly.

- https://doi.org/10.1080/08920753.2023.2187654
- Search results from OpenAlex and Google Scholar",0.0,1.0
"Raj, S., & Kumar, A. (2015). The economic costs of climate change: A global assessment. *Environmental Economics and Policy, 12*(1), 45-62. https://doi.org/10.1080/21616345.2015.1012345",Climate change,qwen3_8b_nothink,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article with the title ""The economic costs of climate change: A global assessment"" by Raj and Kumar from 2015 could be found. The DOI provided does not resolve to any document, and no records matching this reference were located in the usual academic databases.

### Details
A search using the DOI 10.1080/21616345.2015.1012345 returned an error 404, indicating the DOI does not exist or is inactive. Searches in the OpenAlex database and via scholarly search engines found no matching publication for the given title, authors, and year. Several related publications by authors named Raj and Kumar on climate topics were found, but none matched the reference exactly.

- https://doi.org/10.1080/21616345.2015.1012345
- https://openalex.org
- General scholarly search results",0.0,1.0
"Taylor, L., & Green, J. (2020). Climate change and urban heat islands: Impacts and mitigation. *Urban Climate, 34*, 100765. https://doi.org/10.1016/j.uclim.2020.100765",Climate change,qwen3_8b_nothink,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,CONTAINS,MATCH,MATCH,Thermal sensation and thermal load of human body in irradiated hot environment,A. Yoshida; Takuma Naka; Narihisa Chigusa; Shinichi Kinoshita,2021.0,Urban Climate,10.1016/j.uclim.2020.100765,https://doi.org/10.1016/j.uclim.2020.100765,GOOGLE,2.0,2.0,1.0,0.0,0.0,Climate change and urban heat islands: Impacts and mitigation,Thermal sensation and thermal load of human body in irradiated hot environment,"Taylor, L.; Green, J.",A. Yoshida; Takuma Naka; Narihisa Chigusa; Shinichi Kinoshita,2020.0,2021.0,Urban Climate,Urban Climate,10.1016/j.uclim.2020.100765,10.1016/j.uclim.2020.100765,0.0,0.0,1.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ◐ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
The reference could not be conclusively verified because the DOI matches a different article than the one cited. The cited article by Taylor and Green about climate change and urban heat islands does not align with the found article, which discusses human thermal sensation in irradiated hot environments and has different authors.

### Details
A matching record was found that shares the same DOI '10.1016/j.uclim.2020.100765' and journal name 'Urban Climate', but the title and authors differ significantly. The found article is from 2021 and authored by Yoshida, Naka, Chigusa, and Kinoshita, whereas the cited one is from 2020 by Taylor and Green. The conflicting title and author information indicates the DOI might be incorrect or assigned incorrectly. Further human review is needed to resolve this discrepancy.

- https://doi.org/10.1016/j.uclim.2020.100765
- https://onesearch.nihlibrary.ors.nih.gov/discovery/fulldisplay?docid=alma991001363484704686&context=L&vid=01NIH_INST:NIH&lang=en&adaptor=Local%20Search%20Engine&tab=NIHCampus&query=sub%2Cexact%2CUrban%20heat%20island%2CAND&mode=advanced&offset=0
- https://mostpolicyinitiative.org/wp-content/uploads/2021/10/UHI_CommunityScienceNote_2021.pdf",0.025,0.975
"Smith, J., & Jones, R. (2018). Climate change adaptation strategies in smallholder agriculture. *Journal of Agricultural Science, 45*(3), 112-125. https://doi.org/10.1017/jas.2018.45",Climate change adaptation in agriculture,qwen3_8b_nothink,unverified,Reference could not be verified.,CONTAINS,CONTRADICTION,MATCH,CONTRADICTION,UNCONFIRMED,Smallholder farmer perceived effects of climate change on agricultural productivity and adaptation strategies,V Makuvaro; S Walker; TP Masere; J Dimes,2018.0,Journal of Arid Environments,,https://www.sciencedirect.com/science/article/pii/S0140196318300491,GOOGLE,1.0,2.0,1.0,0.0,1.0,Climate change adaptation strategies in smallholder agriculture.,Smallholder farmer perceived effects of climate change on agricultural productivity and adaptation strategies,"Smith, J.; Jones, R.",V Makuvaro; S Walker; TP Masere; J Dimes,2018.0,2018.0,Journal of Agricultural Science,Journal of Arid Environments,10.1017/jas.2018.45,,0.0,0.0,3.0,GOOGLE,0.0,"◐ Title | ✗ Authors | ✓ Year | ✗ Venue | ? DOI | ? URL

### Summary
No matching article could be found for the given reference. The title is similar to an existing publication, but the authors, journal, and identifier differ significantly.

### Details
A matching record was not found with the DOI 10.1017/jas.2018.45 as it returned a 404 error in the DOI system. The title ""Climate change adaptation strategies in smallholder agriculture"" partially matches an article titled ""Smallholder farmer perceived effects of climate change on agricultural productivity and adaptation strategies"" published in 2018, but this article has different authors (V Makuvaro, S Walker, TP Masere, J Dimes) and was published in the Journal of Arid Environments, not the Journal of Agricultural Science. Furthermore, the DOI and journal do not match the citation.

- https://doi.org/10.1017/jas.2018.45
- https://www.sciencedirect.com/science/article/pii/S0140196318300491",0.0,1.0
"Lee, K., & Patel, N. (2020). Adapting agricultural practices to climate variability in sub-Saharan Africa. *Agricultural Systems, 178*, 102845. https://doi.org/10.1016/j.agsy.2020.102845",Climate change adaptation in agriculture,qwen3_8b_nothink,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,Prediction of nitrogen excretion in buffalo production systems using dietary and animal variables,Amlan Kumar Patra; Kaushik Pal; Melody Lalhriatpuii,2020.0,Agricultural Systems,10.1016/j.agsy.2020.102845,https://doi.org/10.1016/j.agsy.2020.102845,GOOGLE,3.0,2.0,0.0,0.0,0.0,Adapting agricultural practices to climate variability in sub-Saharan Africa.,Prediction of nitrogen excretion in buffalo production systems using dietary and animal variables,"Lee, K.; Patel, N.",Amlan Kumar Patra; Kaushik Pal; Melody Lalhriatpuii,2020.0,2020.0,Agricultural Systems,Agricultural Systems,10.1016/j.agsy.2020.102845,10.1016/j.agsy.2020.102845,0.0,0.0,1.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ✓ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
The reference provided could not be conclusively verified due to conflicting information. Although the publication year, journal name, and DOI matched, the title and the list of authors did not correspond to the actual paper found with that DOI.

### Details
A matching record was found with DOI 10.1016/j.agsy.2020.102845 in the journal Agricultural Systems from 2020. However, this DOI corresponds to a paper titled ""Prediction of nitrogen excretion in buffalo production systems using dietary and animal variables"" authored by Amlan Kumar Patra, Kaushik Pal, and Melody Lalhriatpuii, which differs significantly from the cited title and authors: ""Adapting agricultural practices to climate variability in sub-Saharan Africa"" by Lee, K. and Patel, N. This discrepancy indicates an ambiguous match requiring human review.

- https://doi.org/10.1016/j.agsy.2020.102845",0.1,0.9
"Gupta, R., & Kumar, S. (2019). Climate-smart agriculture: A pathway for adaptation in South Asia. *Environmental Science & Policy, 95*, 123-134. https://doi.org/10.1016/j.envsci.2019.04.007",Climate change adaptation in agriculture,qwen3_8b_nothink,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,Taking Land Degradation Neutrality from concept to practice: Early reflections on LDN target setting and planning,Ben Gilbey; Jon Davies; Graciela Metternicht; Chris Magero,2019.0,Environmental Science & Policy,10.1016/j.envsci.2019.04.007,https://doi.org/10.1016/j.envsci.2019.04.007,GOOGLE,3.0,2.0,0.0,0.0,0.0,Climate-smart agriculture: A pathway for adaptation in South Asia.,Taking Land Degradation Neutrality from concept to practice: Early reflections on LDN target setting and planning,"Gupta, R.; Kumar, S.",Ben Gilbey; Jon Davies; Graciela Metternicht; Chris Magero,2019.0,2019.0,Environmental Science & Policy,Environmental Science & Policy,10.1016/j.envsci.2019.04.007,10.1016/j.envsci.2019.04.007,0.0,0.0,1.0,GOOGLE,0.0,"✗ Title | ✗ Authors | ✓ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
The reference could not be confirmed as accurate because the title and authors did not match the provided details, even though the year, journal, and DOI matched. There is a mismatch between the claimed article on climate-smart agriculture by Gupta and Kumar and the article found with the given DOI, which is about land degradation neutrality authored by different researchers.

### Details
A matching record was found by DOI, which links to a paper titled ""Taking Land Degradation Neutrality from concept to practice: Early reflections on LDN target setting and planning"" published in Environmental Science & Policy in 2019. However, this paper's authors (Ben Gilbey, Jon Davies, Graciela Metternicht, Chris Magero) do not match the claimed authors (Gupta, R., Kumar, S.), and the titles differ in their main focus. This suggests the DOI in the original reference may be incorrect or mislabeled. The year 2019 and journal name matched exactly. Online searches did not find supporting evidence for the Gupta and Kumar climate-smart agriculture article with the given DOI.

- https://doi.org/10.1016/j.envsci.2019.04.007
- https://www.researchgate.net
- https://link.springer.com",0.1,0.9
